category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0051252,0,1,15,15,regulation of RNA metabolic process,BP,0
GO:0051253,0,1,7,7,negative regulation of RNA metabolic process,BP,0
GO:0051254,0,1,10,10,positive regulation of RNA metabolic process,BP,0
GO:0051276,0,1,7,7,chromosome organization,BP,0
GO:0051641,0,1,6,6,cellular localization,BP,0
GO:0051716,0,1,16,16,cellular response to stimulus,BP,0
GO:0051726,0,1,8,8,regulation of cell cycle,BP,0
GO:0051960,0,1,6,6,regulation of nervous system development,BP,0
GO:0060255,0,1,21,21,regulation of macromolecule metabolic process,BP,0
GO:0060284,0,1,8,8,regulation of cell development,BP,0
GO:0060341,0,1,6,6,regulation of cellular localization,BP,0
GO:0060429,0,1,9,9,epithelium development,BP,0
GO:0060548,0,1,9,9,negative regulation of cell death,BP,0
GO:0060828,0,1,6,6,regulation of canonical Wnt signaling pathway,BP,0
GO:0065007,0,1,26,26,biological regulation,BP,0
GO:0065008,0,1,14,14,regulation of biological quality,BP,0
GO:0065009,0,1,11,11,regulation of molecular function,BP,0
GO:0070201,0,1,6,6,regulation of establishment of protein localization,BP,0
GO:0070887,0,1,12,12,cellular response to chemical stimulus,BP,0
GO:0071310,0,1,12,12,cellular response to organic substance,BP,0
GO:0071495,0,1,6,6,cellular response to endogenous stimulus,BP,0
GO:0071702,0,1,8,8,organic substance transport,BP,0
GO:0071704,0,1,28,28,organic substance metabolic process,BP,0
GO:0071705,0,1,7,7,nitrogen compound transport,BP,0
GO:0071840,0,1,16,16,cellular component organization or biogenesis,BP,0
GO:0080090,0,1,22,22,regulation of primary metabolic process,BP,0
GO:0090087,0,1,6,6,regulation of peptide transport,BP,0
GO:0090304,0,1,14,14,nucleic acid metabolic process,BP,0
GO:0097659,0,1,8,8,nucleic acid-templated transcription,BP,0
GO:1901360,0,1,15,15,organic cyclic compound metabolic process,BP,0
GO:1901362,0,1,9,9,organic cyclic compound biosynthetic process,BP,0
GO:1901564,0,1,17,17,organonitrogen compound metabolic process,BP,0
