go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0070588,8,GO:0051179,0.395,2.9143351727861946,39,calcium ion transmembrane transport,localization
GO:0009314,2,GO:0050896,0.374,2.9143351727861946,2,response to radiation,response to stimulus
GO:0000212,18,GO:0007049,0.578,2.9143351727861946,11,meiotic spindle organization,cell cycle
GO:0009057,19,GO:0009056,0.865,2.9143351727861946,0,macromolecule catabolic process,catabolic process
GO:0001775,23,GO:0007343,0.99,2.9143351727861946,0,cell activation,egg activation
GO:0007033,5,GO:0044085,0.411,2.9143351727861946,4,vacuole organization,cellular component biogenesis
GO:0051606,2,GO:0050896,0.431,2.9143351727861946,0,detection of stimulus,response to stimulus
GO:0045595,9,GO:0048731,0.415,2.9143351727861946,9,regulation of cell differentiation,system development
GO:0016071,11,GO:1901360,0.549,2.9143351727861946,5,mRNA metabolic process,organic cyclic compound metabolic process
GO:0007281,16,GO:0003006,0.857,2.9143351727861946,46,germ cell development,developmental process involved in reproduction
GO:0007051,24,GO:0007017,0.817,2.9143351727861946,5,spindle organization,microtubule-based process
GO:0002759,12,GO:0002376,0.671,2.9143351727861946,0,regulation of antimicrobial humoral response,immune system process
GO:0006402,19,GO:0009056,0.696,2.9143351727861946,11,mRNA catabolic process,catabolic process
GO:0006401,19,GO:0009056,0.723,2.9143351727861946,16,RNA catabolic process,catabolic process
GO:0007616,14,GO:0003008,0.595,2.9143351727861946,7,long-term memory,system process
GO:0007613,14,GO:0003008,0.677,2.9143351727861946,1,memory,system process
GO:1903008,5,GO:0044085,0.388,2.9143351727861946,0,organelle disassembly,cellular component biogenesis
GO:0050768,9,GO:0048731,0.601,2.9143351727861946,0,negative regulation of neurogenesis,system development
GO:0042147,8,GO:0051179,0.358,2.9143351727861946,28,"retrograde transport, endosome to Golgi",localization
GO:0006403,25,GO:0006403,0.998,2.9143351727861946,0,RNA localization,RNA localization
GO:1905037,5,GO:0044085,0.383,2.9143351727861946,0,autophagosome organization,cellular component biogenesis
GO:0042158,26,GO:0042158,0.998,2.9143351727861946,0,lipoprotein biosynthetic process,lipoprotein biosynthetic process
GO:0051960,9,GO:0048731,0.686,2.9143351727861946,0,regulation of nervous system development,system development
GO:0042303,6,GO:0032501,0.418,2.9143351727861946,4,molting cycle,multicellular organismal process
GO:0019953,16,GO:0003006,0.715,2.9143351727861946,6,sexual reproduction,developmental process involved in reproduction
GO:0019219,22,GO:0031323,0.898,2.9143351727861946,0,regulation of nucleobase-containing compound metabolic process,regulation of cellular metabolic process
GO:0009894,19,GO:0009056,0.717,2.9143351727861946,0,regulation of catabolic process,catabolic process
GO:0007420,9,GO:0048731,0.515,2.9143351727861946,3,brain development,system development
GO:0006378,11,GO:1901360,0.359,2.9143351727861946,21,mRNA polyadenylation,organic cyclic compound metabolic process
GO:0002682,12,GO:0002376,0.754,2.9143351727861946,0,regulation of immune system process,immune system process
GO:0000956,19,GO:0009056,0.676,2.9143351727861946,22,nuclear-transcribed mRNA catabolic process,catabolic process
GO:0000045,5,GO:0044085,0.632,2.9143351727861946,27,autophagosome assembly,cellular component biogenesis
GO:0016482,8,GO:0051179,0.397,2.9143351727861946,0,cytosolic transport,localization
GO:0016192,8,GO:0051179,0.583,2.9143351727861946,139,vesicle-mediated transport,localization
GO:0031324,17,GO:0048519,0.779,2.9143351727861946,0,negative regulation of cellular metabolic process,negative regulation of biological process
GO:0010605,17,GO:0048519,0.866,2.9143351727861946,0,negative regulation of macromolecule metabolic process,negative regulation of biological process
GO:0009892,17,GO:0048519,0.871,2.9143351727861946,0,negative regulation of metabolic process,negative regulation of biological process
GO:0009889,22,GO:0031323,0.782,2.9143351727861946,0,regulation of biosynthetic process,regulation of cellular metabolic process
GO:0009566,16,GO:0003006,0.574,2.9143351727861946,1,fertilization,developmental process involved in reproduction
GO:0008298,25,GO:0006403,0.762,2.9143351727861946,2,intracellular mRNA localization,RNA localization
GO:0007292,16,GO:0003006,0.677,2.9143351727861946,2,female gamete generation,developmental process involved in reproduction
GO:0042157,26,GO:0042158,0.986,2.9143351727861946,4,lipoprotein metabolic process,lipoprotein biosynthetic process
GO:0034497,5,GO:0044085,0.52,2.9143351727861946,5,protein localization to phagophore assembly site,cellular component biogenesis
GO:0098662,8,GO:0051179,0.512,2.9143351727861946,4,inorganic cation transmembrane transport,localization
GO:0045664,9,GO:0048731,0.591,2.9143351727861946,15,regulation of neuron differentiation,system development
GO:0030182,9,GO:0048731,0.87,2.9143351727861946,47,neuron differentiation,system development
GO:0010638,5,GO:0044085,0.406,2.9143351727861946,0,positive regulation of organelle organization,cellular component biogenesis
GO:0010468,22,GO:0031323,0.823,2.9143351727861946,103,regulation of gene expression,regulation of cellular metabolic process
GO:0007611,14,GO:0003008,0.742,2.9143351727861946,4,learning or memory,system process
GO:0007423,9,GO:0048731,0.39,2.9143351727861946,2,sensory organ development,system development
GO:0007417,9,GO:0048731,0.614,2.9143351727861946,10,central nervous system development,system development
GO:0002784,12,GO:0002376,0.671,2.9143351727861946,0,regulation of antimicrobial peptide production,immune system process
GO:0002697,12,GO:0002376,0.671,2.9143351727861946,0,regulation of immune effector process,immune system process
GO:0001556,9,GO:0048731,0.385,2.9143351727861946,15,oocyte maturation,system development
GO:1901566,3,GO:0044238,0.291,2.9143351727861946,2,organonitrogen compound biosynthetic process,primary metabolic process
GO:0061726,5,GO:0044085,0.373,2.9143351727861946,0,mitochondrion disassembly,cellular component biogenesis
GO:0120035,5,GO:0044085,0.451,2.9143351727861946,0,regulation of plasma membrane bounded cell projection organization,cellular component biogenesis
GO:0042335,9,GO:0048731,0.466,2.9143351727861946,6,cuticle development,system development
GO:0032504,16,GO:0003006,0.752,2.9143351727861946,24,multicellular organism reproduction,developmental process involved in reproduction
GO:0032101,10,GO:0048583,0.842,2.9143351727861946,0,regulation of response to external stimulus,regulation of response to stimulus
GO:0031329,19,GO:0009056,0.701,2.9143351727861946,0,regulation of cellular catabolic process,catabolic process
GO:0031124,11,GO:1901360,0.389,2.9143351727861946,11,mRNA 3'-end processing,organic cyclic compound metabolic process
GO:0031123,11,GO:1901360,0.438,2.9143351727861946,18,RNA 3'-end processing,organic cyclic compound metabolic process
GO:0010629,17,GO:0048519,0.794,2.9143351727861946,66,negative regulation of gene expression,negative regulation of biological process
GO:0008334,11,GO:1901360,0.313,2.9143351727861946,0,histone mRNA metabolic process,organic cyclic compound metabolic process
GO:0007610,6,GO:0032501,0.557,2.9143351727861946,18,behavior,multicellular organismal process
GO:0007276,16,GO:0003006,0.726,2.9143351727861946,19,gamete generation,developmental process involved in reproduction
GO:0007052,24,GO:0007017,0.769,2.9143351727861946,22,mitotic spindle organization,microtubule-based process
GO:0000280,5,GO:0044085,0.496,2.9143351727861946,2,nuclear division,cellular component biogenesis
GO:1901564,3,GO:0044238,0.41,2.9143351727861946,0,organonitrogen compound metabolic process,primary metabolic process
GO:0007005,5,GO:0044085,0.461,2.9143351727861946,38,mitochondrion organization,cellular component biogenesis
GO:0060284,9,GO:0048731,0.428,2.9143351727861946,1,regulation of cell development,system development
GO:0055085,8,GO:0051179,0.642,2.9143351727861946,462,transmembrane transport,localization
GO:0050793,9,GO:0048731,0.499,2.9143351727861946,4,regulation of developmental process,system development
GO:0045596,9,GO:0048731,0.351,2.9143351727861946,3,negative regulation of cell differentiation,system development
GO:0043473,27,GO:0043473,1,2.9143351727861946,0,pigmentation,pigmentation
GO:0034220,8,GO:0051179,0.583,2.9143351727861946,255,ion transmembrane transport,localization
GO:0010721,9,GO:0048731,0.378,2.9143351727861946,0,negative regulation of cell development,system development
GO:0006816,8,GO:0051179,0.424,2.9143351727861946,41,calcium ion transport,localization
GO:0033043,5,GO:0044085,0.475,2.9143351727861946,0,regulation of organelle organization,cellular component biogenesis
GO:0031330,19,GO:0009056,0.582,2.9143351727861946,0,negative regulation of cellular catabolic process,catabolic process
GO:0031326,22,GO:0031323,0.899,2.9143351727861946,0,regulation of cellular biosynthetic process,regulation of cellular metabolic process
GO:0019439,19,GO:0009056,0.768,2.9143351727861946,2,aromatic compound catabolic process,catabolic process
