GO,GO:0000003,GO:0000280,GO:0003006,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006807,GO:0006996,GO:0007049,GO:0007140,GO:0007276,GO:0007281,GO:0007283,GO:0008152,GO:0008283,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0016043,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0030154,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0032504,GO:0034248,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044703,GO:0048137,GO:0048232,GO:0048285,GO:0048468,GO:0048515,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051301,GO:0051321,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0140013,GO:1901564,GO:1901566,GO:1901576,GO:1903046,GO:2000112
GO:0048137,0.433,0.018,0.53,0.019,0.017,0.017,0.019,0,0.021,0.02,0.632,0.589,0.608,0.728,0,0.017,0,0,0,0.025,0,0,0,0,0.022,0,0,0.576,0.019,0.619,0.443,0.26,0.021,0.021,0.251,0.28,0.535,0.017,0.022,0.02,0.019,0,0.02,0.019,0.023,0,0.022,0.021,0.021,0.33,1,0.72,0.018,0.248,0.664,0.582,0.276,0.26,0,0.023,0,0,0.607,0.404,0,0,0,0.022,0,0.387,0,0,0,0.394,0.017
GO:0048232,0.653,0,0.617,0,0,0,0,0,0,0,0.836,0.848,0.804,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834,0,0.722,0.667,0,0,0,0.399,0,0.783,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0.72,0.997,0,0,0.872,0.84,0,0,0,0,0,0,0,0.581,0,0,0,0,0,0.546,0,0,0,0.561,0
GO:0048285,0,0.982,0,0.033,0.027,0.028,0.034,0,0.726,0.036,0.69,0,0.029,0,0,0.026,0,0,0,0.057,0,0,0,0,0.605,0,0,0,0.034,0.03,0,0.037,0.039,0.038,0,0,0,0.028,0.044,0.035,0.033,0,0.035,0.033,0.049,0,0.042,0.039,0.04,0,0.018,0,0.988,0.034,0.023,0,0,0.037,0,0.046,0,0,0.03,0.031,0,0,0,0.585,0,0.909,0,0,0,0.03,0.029
GO:0048468,0,0.034,0.464,0.036,0.029,0.031,0.037,0,0.043,0.04,0.023,0,0.825,0.362,0,0.028,0,0,0,0.067,0,0,0,0,0.047,0,0,0,0.038,0.033,0,0.858,0.043,0.042,0,0.616,0,0.031,0.05,0.038,0.036,0,0.038,0.037,0.056,0,0.047,0.044,0.045,0,0.248,0,0.034,0.975,0.508,0,0.67,0.856,0,0.052,0,0,0.033,0.034,0,0,0,0.047,0,0.031,0,0,0,0.032,0.031
GO:0048515,0.549,0.023,0.662,0.024,0.021,0.021,0.024,0,0.026,0.025,0.746,0.729,0.747,0.881,0,0.02,0,0,0,0.034,0,0,0,0,0.028,0,0,0.715,0.024,0.762,0.561,0.54,0.027,0.026,0.327,0.364,0.667,0.021,0.029,0.025,0.024,0,0.025,0.024,0.031,0,0.028,0.027,0.027,0.391,0.664,0.872,0.023,0.508,1,0.721,0.357,0.538,0,0.03,0,0,0.022,0.499,0,0,0,0.028,0,0.473,0,0,0,0.485,0.021
GO:0048609,0.788,0,0.732,0,0,0,0,0,0,0,0.687,0.98,0.921,0.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675,0,0.844,0.803,0,0,0,0.498,0,0.928,0,0,0,0,0,0,0,0,0,0,0,0,0.494,0.582,0.84,0,0,0.721,0.988,0,0,0,0,0,0,0,0.681,0,0,0,0,0,0.634,0,0,0,0.654,0
GO:0048856,0,0,0.575,0,0,0,0,0,0,0,0,0,0.546,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0,0.67,0.357,0,0.892,0.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0048869,0,0.037,0.509,0.04,0.032,0.033,0.041,0,0.048,0.044,0.025,0,0.713,0.388,0,0.03,0,0,0,0.081,0,0,0,0,0.052,0,0,0,0.041,0.035,0,0.95,0.048,0.046,0,0.698,0,0.033,0.057,0.042,0.04,0,0.042,0.04,0.065,0,0.053,0.049,0.051,0,0.26,0,0.037,0.856,0.538,0,0.673,0.952,0,0.06,0,0,0.036,0.037,0,0,0,0.053,0,0.034,0,0,0,0.035,0.033
GO:0050789,0,0,0,0,0,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0.503,0.468,0.324,0,0.534,0,0,0,0,0,0,0.495,0.47,0,0,0,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744,0.683,0.5,0.371,0,0,0.527,0.688,0,0,0.502,0,0,0,0,0,0.304
GO:0050794,0,0.046,0,0.05,0.038,0.37,0.052,0,0.063,0.057,0.028,0,0.042,0,0,0.036,0,0,0.445,0.138,0,0.475,0.444,0.312,0.072,0.502,0,0,0.053,0.043,0,0.06,0.591,0.562,0,0,0,0.371,0.081,0.054,0.05,0,0.053,0.051,0.097,0,0.073,0.066,0.068,0,0.023,0,0.046,0.052,0.03,0,0,0.06,0.683,0.799,0.472,0.356,0.044,0.045,0.495,0.63,0,0.073,0.473,0.041,0,0,0,0.043,0.371
GO:0051171,0,0,0,0.281,0.221,0.627,0.291,0.47,0,0,0,0,0,0,0.338,0,0.256,0.24,0.788,0,0.259,0.83,0.786,0.586,0,0.867,0.39,0,0,0,0,0,0.819,0.787,0,0,0,0.628,0.413,0.201,0.282,0.306,0.298,0.285,0.316,0.32,0.254,0.234,0.363,0,0,0,0,0,0,0,0,0,0.5,0.472,0.932,0.74,0,0,0.858,0.457,0.328,0,0.828,0,0.412,0.324,0.255,0,0.557
GO:0051246,0,0,0,0.458,0.374,0.855,0.398,0.347,0,0,0,0,0,0,0.245,0,0.199,0.313,0.631,0,0.332,0.675,0.646,0.508,0,0.681,0.596,0,0,0,0,0,0.651,0.631,0,0,0,0.534,0.316,0.271,0.387,0.377,0.244,0.235,0.233,0.314,0.198,0.307,0.285,0,0,0,0,0,0,0,0,0,0.371,0.356,0.74,0.983,0,0,0.693,0.337,0.283,0,0.737,0,0.524,0.434,0.235,0,0.486
GO:0051301,0,0.03,0,0.032,0.027,0.028,0.033,0,0.037,0.035,0.021,0,0.029,0,0,0.026,0,0,0,0.055,0,0,0,0,0.04,0,0,0,0.033,0.029,0,0.036,0.037,0.036,0,0,0,0.028,0.043,0.034,0.032,0,0.034,0.033,0.047,0,0.04,0.038,0.039,0,0.607,0,0.03,0.033,0.022,0,0,0.036,0,0.044,0,0,0.991,0.03,0,0,0,0.04,0,0.028,0,0,0,0.029,0.028
GO:0051321,0.775,0.031,0.721,0.033,0.027,0.028,0.034,0,0.038,0.809,0.701,0.676,0.636,0.575,0,0.026,0,0,0,0.056,0,0,0,0,0.041,0,0,0.666,0.772,0.654,0.79,0.037,0.038,0.037,0,0,0.697,0.028,0.044,0.034,0.033,0,0.034,0.033,0.048,0,0.041,0.039,0.04,0.489,0.404,0.581,0.031,0.034,0.499,0.681,0,0.037,0,0.045,0,0,0.03,0.989,0,0,0,0.041,0,0.921,0,0,0,0.95,0.028
