go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:1903507,2,GO:0050789,0.305,5.047130200215529,0,negative regulation of nucleic acid-templated transcription,regulation of biological process
GO:0090596,19,GO:0007423,0.975,5.047130200215529,0,sensory organ morphogenesis,sensory organ development
GO:0048513,19,GO:0007423,0.736,5.047130200215529,1,animal organ development,sensory organ development
GO:0043069,14,GO:0043067,0.928,5.047130200215529,3,negative regulation of programmed cell death,regulation of programmed cell death
GO:0044271,15,GO:2001141,0.814,5.047130200215529,0,cellular nitrogen compound biosynthetic process,regulation of RNA biosynthetic process
GO:0045859,2,GO:0050789,0.272,5.047130200215529,2,regulation of protein kinase activity,regulation of biological process
GO:0070887,13,GO:0010033,0.696,5.047130200215529,0,cellular response to chemical stimulus,response to organic substance
GO:0050793,19,GO:0007423,0.334,5.047130200215529,4,regulation of developmental process,sensory organ development
GO:0048869,19,GO:0007423,0.358,5.047130200215529,0,cellular developmental process,sensory organ development
GO:0048592,19,GO:0007423,0.784,5.047130200215529,0,eye morphogenesis,sensory organ development
GO:0030154,19,GO:0007423,0.358,5.047130200215529,305,cell differentiation,sensory organ development
GO:0048585,6,GO:0050896,0.422,5.047130200215529,0,negative regulation of response to stimulus,response to stimulus
GO:0051336,9,GO:0065009,0.885,5.047130200215529,0,regulation of hydrolase activity,regulation of molecular function
GO:2001233,14,GO:0043067,0.829,5.047130200215529,0,regulation of apoptotic signaling pathway,regulation of programmed cell death
GO:0071900,9,GO:0065009,0.749,5.047130200215529,1,regulation of protein serine/threonine kinase activity,regulation of molecular function
GO:0045860,9,GO:0065009,0.735,5.047130200215529,8,positive regulation of protein kinase activity,regulation of molecular function
GO:0043410,10,GO:0023051,0.713,5.047130200215529,12,positive regulation of MAPK cascade,regulation of signaling
GO:0008219,14,GO:0043067,0.882,5.047130200215529,16,cell death,regulation of programmed cell death
GO:1902679,2,GO:0050789,0.305,5.047130200215529,0,negative regulation of RNA biosynthetic process,regulation of biological process
GO:0071310,13,GO:0010033,0.953,5.047130200215529,0,cellular response to organic substance,response to organic substance
GO:0070647,8,GO:0043412,0.69,5.047130200215529,0,protein modification by small protein conjugation or removal,macromolecule modification
GO:0031327,2,GO:0050789,0.325,5.047130200215529,0,negative regulation of cellular biosynthetic process,regulation of biological process
GO:0051640,12,GO:0051179,0.497,5.047130200215529,4,organelle localization,localization
GO:0009887,19,GO:0007423,0.671,5.047130200215529,20,animal organ morphogenesis,sensory organ development
GO:0007275,19,GO:0007423,0.427,5.047130200215529,57,multicellular organism development,sensory organ development
GO:0010564,17,GO:0051726,0.954,5.047130200215529,2,regulation of cell cycle process,regulation of cell cycle
GO:0006325,1,GO:0071840,0.529,5.047130200215529,68,chromatin organization,cellular component organization or biogenesis
GO:0023057,10,GO:0023051,0.879,5.047130200215529,0,negative regulation of signaling,regulation of signaling
GO:0010648,11,GO:0010646,0.879,5.047130200215529,0,negative regulation of cell communication,regulation of cell communication
GO:0034645,4,GO:0044260,0.793,5.047130200215529,1,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process
GO:0045937,16,GO:0051174,0.939,5.047130200215529,0,positive regulation of phosphate metabolic process,regulation of phosphorus metabolic process
GO:0043408,10,GO:0023051,0.773,5.047130200215529,9,regulation of MAPK cascade,regulation of signaling
GO:2000113,4,GO:0044260,0.557,5.047130200215529,0,negative regulation of cellular macromolecule biosynthetic process,cellular macromolecule metabolic process
GO:0045934,2,GO:0050789,0.315,5.047130200215529,0,negative regulation of nucleobase-containing compound metabolic process,regulation of biological process
GO:0045892,2,GO:0050789,0.305,5.047130200215529,62,negative regulation of DNA-templated transcription,regulation of biological process
GO:1903322,8,GO:0043412,0.436,5.047130200215529,0,positive regulation of protein modification by small protein conjugation or removal,macromolecule modification
GO:1903320,8,GO:0043412,0.47,5.047130200215529,0,regulation of protein modification by small protein conjugation or removal,macromolecule modification
GO:0051234,12,GO:0051179,0.825,5.047130200215529,0,establishment of localization,localization
GO:0006950,6,GO:0050896,0.626,5.047130200215529,11,response to stress,response to stimulus
GO:1902532,10,GO:0023051,0.814,2.746507132063104,0,negative regulation of intracellular signal transduction,regulation of signaling
GO:0043068,14,GO:0043067,0.924,2.746507132063104,14,positive regulation of programmed cell death,regulation of programmed cell death
GO:0042274,1,GO:0071840,0.452,2.746507132063104,7,ribosomal small subunit biogenesis,cellular component organization or biogenesis
GO:0032006,10,GO:0023051,0.724,2.746507132063104,2,regulation of TOR signaling,regulation of signaling
GO:0033043,1,GO:0071840,0.552,2.746507132063104,0,regulation of organelle organization,cellular component organization or biogenesis
GO:0006399,7,GO:0006139,0.513,2.746507132063104,2,tRNA metabolic process,nucleobase-containing compound metabolic process
GO:0032880,12,GO:0051179,0.442,2.746507132063104,35,regulation of protein localization,localization
GO:0034097,13,GO:0010033,0.626,2.746507132063104,0,response to cytokine,response to organic substance
GO:0009451,8,GO:0043412,0.622,2.746507132063104,11,RNA modification,macromolecule modification
GO:1902116,1,GO:0071840,0.37,2.746507132063104,0,negative regulation of organelle assembly,cellular component organization or biogenesis
GO:1901566,5,GO:0071704,0.351,2.746507132063104,2,organonitrogen compound biosynthetic process,organic substance metabolic process
GO:0043039,23,GO:0043039,0.997,2.746507132063104,9,tRNA aminoacylation,tRNA aminoacylation
GO:0043087,9,GO:0065009,0.782,2.746507132063104,19,regulation of GTPase activity,regulation of molecular function
GO:0046907,12,GO:0051179,0.569,2.746507132063104,8,intracellular transport,localization
GO:2001235,14,GO:0043067,0.69,2.746507132063104,1,positive regulation of apoptotic signaling pathway,regulation of programmed cell death
GO:0051650,12,GO:0051179,0.403,2.746507132063104,0,establishment of vesicle localization,localization
GO:0006302,6,GO:0050896,0.378,2.746507132063104,18,double-strand break repair,response to stimulus
GO:0043604,7,GO:0006139,0.524,2.746507132063104,2,amide biosynthetic process,nucleobase-containing compound metabolic process
GO:0006281,6,GO:0050896,0.451,2.746507132063104,142,DNA repair,response to stimulus
GO:0120032,1,GO:0071840,0.407,2.746507132063104,0,regulation of plasma membrane bounded cell projection assembly,cellular component organization or biogenesis
GO:0071103,1,GO:0071840,0.448,2.746507132063104,0,DNA conformation change,cellular component organization or biogenesis
GO:0008033,7,GO:0006139,0.476,2.746507132063104,56,tRNA processing,nucleobase-containing compound metabolic process
GO:0031396,8,GO:0043412,0.436,2.746507132063104,0,regulation of protein ubiquitination,macromolecule modification
GO:0006518,7,GO:0006139,0.536,2.746507132063104,9,peptide metabolic process,nucleobase-containing compound metabolic process
GO:0048489,12,GO:0051179,0.361,2.746507132063104,18,synaptic vesicle transport,localization
GO:0032392,1,GO:0071840,0.438,2.746507132063104,0,DNA geometric change,cellular component organization or biogenesis
GO:0071345,13,GO:0010033,0.626,2.746507132063104,0,cellular response to cytokine stimulus,response to organic substance
GO:0032879,12,GO:0051179,0.528,2.746507132063104,0,regulation of localization,localization
GO:0043436,23,GO:0043039,0.767,2.746507132063104,0,oxoacid metabolic process,tRNA aminoacylation
GO:0060491,1,GO:0071840,0.407,2.746507132063104,0,regulation of cell projection assembly,cellular component organization or biogenesis
GO:0006520,23,GO:0043039,0.852,2.746507132063104,16,cellular amino acid metabolic process,tRNA aminoacylation
GO:0000725,7,GO:0006139,0.416,2.746507132063104,0,recombinational repair,nucleobase-containing compound metabolic process
GO:0019752,23,GO:0043039,0.767,2.746507132063104,13,carboxylic acid metabolic process,tRNA aminoacylation
GO:0006310,7,GO:0006139,0.473,2.746507132063104,38,DNA recombination,nucleobase-containing compound metabolic process
GO:0006368,15,GO:2001141,0.552,2.746507132063104,16,transcription elongation by RNA polymerase II promoter,regulation of RNA biosynthetic process
GO:0006354,15,GO:2001141,0.563,2.746507132063104,0,DNA-templated transcription elongation,regulation of RNA biosynthetic process
GO:0006082,23,GO:0043039,0.761,2.746507132063104,39,organic acid metabolic process,tRNA aminoacylation
GO:1902017,1,GO:0071840,0.387,2.746507132063104,3,regulation of cilium assembly,cellular component organization or biogenesis
GO:0070848,13,GO:0010033,0.795,2.746507132063104,0,response to growth factor,response to organic substance
GO:0032007,10,GO:0023051,0.657,2.746507132063104,1,negative regulation of TOR signaling,regulation of signaling
