category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0030177,3.8906220150649196e-6,1,2,2,positive regulation of Wnt signaling pathway,BP,8.069543441202861e-6
GO:0030217,3.8906220150649196e-6,1,2,2,T cell differentiation,BP,8.069543441202861e-6
GO:0030330,3.8906220150649196e-6,1,2,2,"DNA damage response, signal transduction by p53 class mediator",BP,8.069543441202861e-6
GO:0030855,3.8906220150649196e-6,1,2,2,epithelial cell differentiation,BP,8.069543441202861e-6
GO:0031016,3.8906220150649196e-6,1,2,2,pancreas development,BP,8.069543441202861e-6
GO:0031018,3.8906220150649196e-6,1,2,2,endocrine pancreas development,BP,8.069543441202861e-6
GO:0031397,3.8906220150649196e-6,1,2,2,negative regulation of protein ubiquitination,BP,8.069543441202861e-6
GO:0031400,3.8906220150649196e-6,1,2,2,negative regulation of protein modification process,BP,8.069543441202861e-6
GO:0031570,3.8906220150649196e-6,1,2,2,DNA integrity checkpoint signaling,BP,8.069543441202861e-6
GO:0031571,3.8906220150649196e-6,1,2,2,mitotic G1 DNA damage checkpoint signaling,BP,8.069543441202861e-6
GO:0031647,3.8906220150649196e-6,1,2,2,regulation of protein stability,BP,8.069543441202861e-6
GO:0032024,3.8906220150649196e-6,1,2,2,positive regulation of insulin secretion,BP,8.069543441202861e-6
GO:0032880,3.8906220150649196e-6,1,2,2,regulation of protein localization,BP,8.069543441202861e-6
GO:0033500,3.8906220150649196e-6,1,2,2,carbohydrate homeostasis,BP,8.069543441202861e-6
GO:0034248,3.8906220150649196e-6,1,2,2,regulation of cellular amide metabolic process,BP,8.069543441202861e-6
GO:0034250,3.8906220150649196e-6,1,2,2,positive regulation of cellular amide metabolic process,BP,8.069543441202861e-6
GO:0034284,3.8906220150649196e-6,1,2,2,response to monosaccharide,BP,8.069543441202861e-6
GO:0035019,3.8906220150649196e-6,1,2,2,somatic stem cell population maintenance,BP,8.069543441202861e-6
GO:0035107,3.8906220150649196e-6,1,2,2,appendage morphogenesis,BP,8.069543441202861e-6
GO:0035108,3.8906220150649196e-6,1,2,2,limb morphogenesis,BP,8.069543441202861e-6
GO:0035148,3.8906220150649196e-6,1,2,2,tube formation,BP,8.069543441202861e-6
GO:0035239,3.8906220150649196e-6,1,2,2,tube morphogenesis,BP,8.069543441202861e-6
GO:0035295,3.8906220150649196e-6,1,2,2,tube development,BP,8.069543441202861e-6
GO:0035556,3.8906220150649196e-6,1,2,2,intracellular signal transduction,BP,8.069543441202861e-6
GO:0035904,3.8906220150649196e-6,1,2,2,aorta development,BP,8.069543441202861e-6
GO:0035905,3.8906220150649196e-6,1,2,2,ascending aorta development,BP,8.069543441202861e-6
GO:0035909,3.8906220150649196e-6,1,2,2,aorta morphogenesis,BP,8.069543441202861e-6
GO:0035910,3.8906220150649196e-6,1,2,2,ascending aorta morphogenesis,BP,8.069543441202861e-6
GO:0036293,3.8906220150649196e-6,1,2,2,response to decreased oxygen levels,BP,8.069543441202861e-6
GO:0042063,3.8906220150649196e-6,1,2,2,gliogenesis,BP,8.069543441202861e-6
GO:0042110,3.8906220150649196e-6,1,2,2,T cell activation,BP,8.069543441202861e-6
GO:0042592,3.8906220150649196e-6,1,2,2,homeostatic process,BP,8.069543441202861e-6
GO:0042593,3.8906220150649196e-6,1,2,2,glucose homeostasis,BP,8.069543441202861e-6
GO:0042770,3.8906220150649196e-6,1,2,2,signal transduction in response to DNA damage,BP,8.069543441202861e-6
