go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0071310,10,GO:0070887,0.94,9.759254564516596,0,cellular response to organic substance,cellular response to chemical stimulus
GO:1902679,6,GO:0048523,0.796,9.759254564516596,0,negative regulation of RNA biosynthetic process,negative regulation of cellular process
GO:0048869,1,GO:0032502,0.698,9.759254564516596,0,cellular developmental process,developmental process
GO:0010558,6,GO:0048523,0.7,9.759254564516596,0,negative regulation of macromolecule biosynthetic process,negative regulation of cellular process
GO:0044281,27,GO:0044281,0.953,7.2003440993158625,9,small molecule metabolic process,small molecule metabolic process
GO:0080134,23,GO:0048583,0.84,7.2003440993158625,0,regulation of response to stress,regulation of response to stimulus
GO:0009056,28,GO:0009056,0.958,7.2003440993158625,0,catabolic process,catabolic process
GO:0051726,29,GO:0051726,0.99,7.2003440993158625,34,regulation of cell cycle,regulation of cell cycle
GO:0044248,28,GO:0009056,0.924,7.2003440993158625,2,cellular catabolic process,catabolic process
GO:0044703,30,GO:0044703,1,7.2003440993158625,0,multi-organism reproductive process,multi-organism reproductive process
GO:0051234,26,GO:0051179,0.825,7.2003440993158625,0,establishment of localization,localization
GO:0000003,30,GO:0044703,0.537,7.2003440993158625,107,reproduction,multi-organism reproductive process
GO:0007166,12,GO:0007165,0.69,7.2003440993158625,11,cell surface receptor signaling pathway,signal transduction
GO:0002009,25,GO:0009888,0.869,7.2003440993158625,23,morphogenesis of an epithelium,tissue development
GO:0006366,5,GO:0044249,0.686,7.2003440993158625,19,transcription by RNA polymerase II,cellular biosynthetic process
GO:0042981,24,GO:0010941,0.961,7.2003440993158625,15,regulation of apoptotic process,regulation of cell death
GO:0045787,29,GO:0051726,0.859,7.2003440993158625,1,positive regulation of cell cycle,regulation of cell cycle
GO:0048589,31,GO:0048589,0.993,7.2003440993158625,5,developmental growth,developmental growth
GO:0033993,10,GO:0070887,0.435,7.2003440993158625,3,response to lipid,cellular response to chemical stimulus
GO:0048584,23,GO:0048583,0.868,7.2003440993158625,0,positive regulation of response to stimulus,regulation of response to stimulus
GO:1901615,32,GO:1901615,0.995,7.2003440993158625,0,organic hydroxy compound metabolic process,organic hydroxy compound metabolic process
GO:0044085,17,GO:0016043,0.694,7.2003440993158625,0,cellular component biogenesis,cellular component organization
GO:0043066,24,GO:0010941,0.902,7.2003440993158625,38,negative regulation of apoptotic process,regulation of cell death
GO:0030030,17,GO:0016043,0.66,7.2003440993158625,31,cell projection organization,cellular component organization
GO:0060562,20,GO:0009653,0.563,7.2003440993158625,9,epithelial tube morphogenesis,anatomical structure morphogenesis
GO:0043067,24,GO:0010941,0.974,7.2003440993158625,3,regulation of programmed cell death,regulation of cell death
GO:0120036,17,GO:0016043,0.652,7.2003440993158625,1,plasma membrane bounded cell projection organization,cellular component organization
GO:0060429,25,GO:0009888,0.896,7.2003440993158625,1,epithelium development,tissue development
GO:0022414,30,GO:0044703,0.549,7.2003440993158625,11,reproductive process,multi-organism reproductive process
GO:0051240,16,GO:0051241,0.729,7.2003440993158625,0,positive regulation of multicellular organismal process,negative regulation of multicellular organismal process
GO:0048468,1,GO:0032502,0.616,7.2003440993158625,6,cell development,developmental process
GO:0045595,1,GO:0032502,0.49,7.2003440993158625,9,regulation of cell differentiation,developmental process
GO:1901700,10,GO:0070887,0.606,7.2003440993158625,0,response to oxygen-containing compound,cellular response to chemical stimulus
GO:2000026,16,GO:0051241,0.708,7.2003440993158625,0,regulation of multicellular organismal development,negative regulation of multicellular organismal process
GO:0035556,13,GO:0007154,0.666,7.2003440993158625,169,intracellular signal transduction,cell communication
GO:0007399,22,GO:0048731,0.926,7.2003440993158625,112,nervous system development,system development
GO:0008283,33,GO:0008283,0.998,7.2003440993158625,1,cell population proliferation,cell population proliferation
GO:0035295,20,GO:0009653,0.434,7.2003440993158625,1,tube development,anatomical structure morphogenesis
GO:0006629,34,GO:0006629,0.967,7.2003440993158625,231,lipid metabolic process,lipid metabolic process
GO:0051128,17,GO:0016043,0.653,7.2003440993158625,2,regulation of cellular component organization,cellular component organization
GO:0043069,24,GO:0010941,0.906,7.2003440993158625,3,negative regulation of programmed cell death,regulation of cell death
GO:0065009,35,GO:0065009,0.983,7.2003440993158625,0,regulation of molecular function,regulation of molecular function
GO:0048646,20,GO:0009653,0.763,7.2003440993158625,0,anatomical structure formation involved in morphogenesis,anatomical structure morphogenesis
GO:0048598,1,GO:0032502,0.507,7.2003440993158625,43,embryonic morphogenesis,developmental process
GO:0040007,31,GO:0048589,0.973,7.2003440993158625,0,growth,developmental growth
GO:0023056,12,GO:0007165,0.545,7.2003440993158625,0,positive regulation of signaling,signal transduction
GO:0010647,13,GO:0007154,0.552,7.2003440993158625,0,positive regulation of cell communication,cell communication
GO:1901575,28,GO:0009056,0.932,7.2003440993158625,0,organic substance catabolic process,catabolic process
GO:0048729,25,GO:0009888,0.935,7.2003440993158625,2,tissue morphogenesis,tissue development
GO:0035239,20,GO:0009653,0.667,7.2003440993158625,0,tube morphogenesis,anatomical structure morphogenesis
GO:0010564,29,GO:0051726,0.954,7.2003440993158625,2,regulation of cell cycle process,regulation of cell cycle
GO:0006810,26,GO:0051179,0.818,7.2003440993158625,32,transport,localization
GO:0045944,4,GO:0051252,0.718,7.2003440993158625,250,positive regulation of transcription by RNA polymerase II,regulation of RNA metabolic process
GO:0060322,1,GO:0032502,0.321,7.2003440993158625,0,head development,developmental process
GO:0022607,17,GO:0016043,0.692,7.2003440993158625,0,cellular component assembly,cellular component organization
GO:0009968,12,GO:0007165,0.581,4.782844286162365,13,negative regulation of signal transduction,signal transduction
GO:0007417,22,GO:0048731,0.614,4.782844286162365,10,central nervous system development,system development
GO:0016042,34,GO:0006629,0.768,4.782844286162365,82,lipid catabolic process,lipid metabolic process
GO:0023057,12,GO:0007165,0.547,4.782844286162365,0,negative regulation of signaling,signal transduction
GO:0006796,36,GO:0006796,0.925,4.782844286162365,6,phosphate-containing compound metabolic process,phosphate-containing compound metabolic process
GO:0045597,1,GO:0032502,0.439,4.782844286162365,1,positive regulation of cell differentiation,developmental process
GO:0032870,14,GO:0006950,0.298,4.782844286162365,0,cellular response to hormone stimulus,response to stress
GO:1901701,10,GO:0070887,0.816,4.782844286162365,0,cellular response to oxygen-containing compound,cellular response to chemical stimulus
GO:0045937,36,GO:0006796,0.574,4.782844286162365,0,positive regulation of phosphate metabolic process,phosphate-containing compound metabolic process
GO:0006259,11,GO:2000112,0.532,4.782844286162365,12,DNA metabolic process,regulation of cellular macromolecule biosynthetic process
GO:0072359,22,GO:0048731,0.539,4.782844286162365,0,circulatory system development,system development
