Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
456H9_R2_001	65.86736085563393	40.0	138.3563741537061	140	9.090909090909092	21390471.0
456L14_R1_001	43.83806980922667	43.0	136.39486582861056	140	0.0	17844788.0
456L14_R2_001	43.14892909011794	43.0	136.41059815336556	140	0.0	17844788.0
456L4_R1_001	76.29753777289046	42.0	137.41739222021423	140	18.181818181818183	17194458.0
456L4_R2_001	75.79398513668409	42.0	137.41814461380523	140	18.181818181818183	17194458.0
456L9_R1_001	58.918822614168356	43.0	137.3892038796916	140	9.090909090909092	17418498.0
456L9_R2_001	57.92604925179845	43.0	137.39175984060165	140	9.090909090909092	17418498.0
456M14_R1_001	51.4865704690599	45.0	138.15018572985525	140	9.090909090909092	17735167.0
456M14_R2_001	50.511549895213605	45.0	138.15175459018795	140	9.090909090909092	17735167.0
456M4_R1_001	42.85012548538006	47.0	137.90559042450778	140	9.090909090909092	18146994.0
456M4_R2_001	41.52755710086487	47.0	137.92180214530296	140	9.090909090909092	18146994.0
456M9_R1_001	53.66510409774236	43.0	136.64400231371724	140	9.090909090909092	16494669.0
456M9_R2_001	52.26258721147104	43.0	136.66139720657625	140	9.090909090909092	16494669.0
45C14_R1_001	79.55331308538517	41.0	138.15915953013953	140	18.181818181818183	18108014.0
45C14_R2_001	78.80939434633311	41.0	138.15900827114447	140	18.181818181818183	18108014.0
45C9_R1_001	54.40148151893085	42.0	137.55608884196613	140	9.090909090909092	16814396.0
45C9_R2_001	52.95361162666449	42.0	137.57082579713241	140	9.090909090909092	16814396.0
45H14_R1_001	60.45665753520629	40.0	137.9418247306257	140	9.090909090909092	17734804.0
45H14_R2_001	59.55844669386256	40.0	137.95263065777326	140	9.090909090909092	17734804.0
67C9_R1_001	57.92354321271567	46.0	138.0025395511843	140	9.090909090909092	20620179.0
67C9_R2_001	56.847402467485665	46.0	138.00511537751441	140	9.090909090909092	20620179.0
6C14_R1_001	42.68278256232675	45.0	137.8989085783331	140	0.0	18440902.0
6C14_R2_001	41.73800492237881	45.0	137.91243877333116	140	0.0	18440902.0
789C4_R1_001	80.41372520824311	25.0	135.35958775629595	140	18.181818181818183	17325868.0
789C4_R2_001	79.29502508069959	25.0	135.37433420363124	140	18.181818181818183	17325868.0
789H14_R1_001	50.977536465710045	44.0	137.02291624961046	140	9.090909090909092	17443692.0
789H14_R2_001	49.94344545315697	44.0	137.0249112974478	140	0.0	17443692.0
789H4_R1_001	61.29343838032905	45.0	138.5708841312952	140	9.090909090909092	18591051.0
789H4_R2_001	60.09398390313946	45.0	138.57282673260377	140	9.090909090909092	18591051.0
789H9_R1_001	44.372875879000404	45.0	138.42632110680907	140	0.0	17815611.0
789H9_R2_001	42.765715773727784	45.0	138.4391727569714	140	0.0	17815611.0
789L14_R1_001	44.26177630387609	43.0	136.18984707832655	140	0.0	17671465.0
789L14_R2_001	42.89118293123245	43.0	136.21040819196372	140	0.0	17671465.0
789L4_R1_001	51.32431793343875	49.0	138.22450520518046	140	18.181818181818183	18055666.0
789L4_R2_001	50.128802089922296	49.0	138.22583614473152	140	18.181818181818183	18055666.0
789L9_R1_001	58.08479802764645	44.0	138.47322738331715	140	9.090909090909092	17690669.0
789L9_R2_001	56.784049965264586	44.0	138.47338187153917	140	9.090909090909092	17690669.0
789M14_R1_001	54.369694418477685	44.0	138.05816879585817	140	9.090909090909092	20110920.0
789M14_R2_001	53.3440234052871	44.0	138.060599664262	140	9.090909090909092	20110920.0
789M4_R1_001	61.937404031766604	44.0	138.3496625905565	140	9.090909090909092	18737472.0
789M4_R2_001	60.90258687592436	44.0	138.35141506815862	140	9.090909090909092	18737472.0
7C14_R1_001	53.98747400020783	43.0	137.87742769235342	140	9.090909090909092	17763474.0
7C14_R2_001	52.65972421860493	43.0	137.88978512874226	140	9.090909090909092	17763474.0
89C14_R1_001	55.373441105543755	43.0	138.68293654837782	140	9.090909090909092	20949425.0
89C14_R2_001	53.991203113771505	43.0	138.68514066615194	140	9.090909090909092	20949425.0
89C9_R1_001	52.4659602166109	43.0	137.75845408171676	140	9.090909090909092	17897065.0
89C9_R2_001	51.42082008354533	43.0	137.7704223569619	140	9.090909090909092	17897065.0
89M9_R1_001	47.19161057867388	46.0	137.11307622836142	140	0.0	17809172.0
89M9_R2_001	45.839664000610014	46.0	137.12808332695084	140	0.0	17809172.0
