Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
123C4_R1_001										12.556301843708562	3.1406042211863063	6.644008990621283	2.2000757019556536	2.027180626617737	0.09726547590140801	0.0
123C4_R2_001										11.987879833920552	3.0536970533443752	6.369921457075607	2.11186082429268	1.9503564207641628	0.09735174223535932	0.13134427626347336
123C9_R1_001										9.355484289517566	2.1737759662667813	5.780339564760597	2.26933677313613	2.8168415059044762	0.23415180525423154	0.06426807471678643
123C9_R2_001										8.701886009853535	2.1732765377611716	5.405917628008577	2.1470916804197557	2.562987964344747	0.2231237224111117	0.24230346202236017
123H14_R1_001										13.63680622928795	3.1101635489034236	4.905951044531	1.313291957749272	0.8154462557502216	0.0	0.0
123H14_R2_001										12.968293562297145	2.9893321698545106	4.732869441373908	1.2001718010538687	0.789036044513105	0.0	0.0
123H4_R1_001										7.513199672364124	2.1780327407972293	5.981433209980567	2.8048292112701123	4.389374248389973	0.4223496259184261	0.21282048784393134
123H4_R2_001										7.217933994993447	2.1155225833720177	5.70110200657204	2.676072407502375	4.2035692258607105	0.2588427528277306	0.41984198818176266
123H9_R1_001										7.1801353505303105	2.577908473778714	8.283292258053496	4.8793458462685315	8.089275795301361	1.4719244314408888	0.44468287398637624
123H9_R2_001										7.007876035776365	2.386991938960153	7.951860968142095	4.741057021869865	7.5960790925410056	1.5410915525454758	0.5544363210144008
123L14_R1_001										11.798760711011798	2.862268017931481	5.8117760264119935	1.8608622739263514	1.3884542349841205	0.0	0.06836681198793848
123L14_R2_001										11.012916200704561	2.67807786985487	5.594904776523971	1.7433519483406286	1.2747296324304673	0.09174571996483137	0.27357094238848034
123L4_R1_001										6.912787160472387	2.2362252330424766	6.61987565625662	3.150815178906272	4.233076568472288	0.2665423773448694	0.5274542970940461
123L4_R2_001										6.542873559206852	2.1196048877114366	6.467832460044836	3.011705925500839	3.9442605806038595	0.21783374420986998	0.7079923443378118
123L9_R1_001										7.393174185628921	1.8622152152736118	4.3167726742160015	1.6672537243127505	1.3261173846756962	0.06777266511432349	0.0
123L9_R2_001										6.983471277239683	1.7335546374447928	4.115815668976765	1.5149910632143346	1.2222195728353193	0.0336923530401254	0.3107977580058115
123M4_R1_001										11.6543786862387	2.9352433641368862	6.517426460766687	2.712589541512433	3.6136074384830392	0.23842636153092073	0.12511511850401147
123M4_R2_001										10.96031085089435	2.8488313472384714	6.198246994382087	2.6234664953216176	3.2787402126708822	0.32166589489754804	0.2485849820442016
