PC1,PC2,group,name,sample_id,collection_date,parents,group.1,hpf,stage,leachate,leachate_mgL,spawn_night,sizeFactor,label
-36.49850529050719,-5.025146212896999,C14,101112C14,101112C14,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1.5524631252625078,"sample: 101112C14
Hpf: 14
Leachate: control"
31.864709702017638,-8.736608412096032,C4,101112C4,101112C4,2024-07-08,101112,C4,4,cleavage,control,0,July_8th,0.588102342075478,"sample: 101112C4
Hpf: 4
Leachate: control"
12.663922306985938,15.46974468143441,C9,101112C9,101112C9,2024-07-08,101112,C9,9,prawnchip,control,0,July_8th,1.4517248763515254,"sample: 101112C9
Hpf: 9
Leachate: control"
-33.92223456048816,-2.3489073292847413,H14,101112H14,101112H14,2024-07-08,101112,H14,14,earlygastrula,high,1,July_8th,1.357371757210553,"sample: 101112H14
Hpf: 14
Leachate: high"
29.24612779498991,-6.044712271909556,H4,101112H4,101112H4,2024-07-08,101112,H4,4,cleavage,high,1,July_8th,0.49109336765616723,"sample: 101112H4
Hpf: 4
Leachate: high"
12.392237684002508,13.59823326163863,H9,101112H9,101112H9,2024-07-08,101112,H9,9,prawnchip,high,1,July_8th,1.4710743002949576,"sample: 101112H9
Hpf: 9
Leachate: high"
-40.80446608083398,-3.2385748635719755,L14,101112L14,101112L14,2024-07-08,101112,L14,14,earlygastrula,low,0.01,July_8th,1.5758908350539225,"sample: 101112L14
Hpf: 14
Leachate: low"
31.933840930078027,-6.611878624051029,L4,101112L4,101112L4,2024-07-08,101112,L4,4,cleavage,low,0.01,July_8th,0.5496326661833003,"sample: 101112L4
Hpf: 4
Leachate: low"
11.198703395072151,16.27044080906689,L9,101112L9,101112L9,2024-07-08,101112,L9,9,prawnchip,low,0.01,July_8th,1.6137096764109122,"sample: 101112L9
Hpf: 9
Leachate: low"
-32.67584891643389,0.5714090837382789,M14,101112M14,101112M14,2024-07-08,101112,M14,14,earlygastrula,mid,0.1,July_8th,1.5638391510564484,"sample: 101112M14
Hpf: 14
Leachate: mid"
-6.49958276295317,-14.568181225807818,M4,101112M4,101112M4,2024-07-08,101112,M4,4,cleavage,mid,0.1,July_8th,0.7661790394342725,"sample: 101112M4
Hpf: 4
Leachate: mid"
7.651515945123244,16.983477526442382,M9,101112M9,101112M9,2024-07-08,101112,M9,9,prawnchip,mid,0.1,July_8th,1.7512945987023327,"sample: 101112M9
Hpf: 9
Leachate: mid"
