category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0035866,0.9593127419145333,0.3220605038808132,2,3,alphav-beta3 integrin-PKCalpha complex,CC,1
GO:0035868,0.9593127419145333,0.3220605038808132,2,3,alphav-beta3 integrin-HMGB1 complex,CC,1
GO:0045715,0.9593127419145333,0.3220605038808132,2,3,NA,NA,1
GO:0050748,0.9593127419145333,0.3220605038808132,2,3,negative regulation of lipoprotein metabolic process,BP,1
GO:0071062,0.9593127419145333,0.3220605038808132,2,3,alphav-beta3 integrin-vitronectin complex,CC,1
GO:0070841,0.9593815069554639,0.32181168289155343,2,3,inclusion body assembly,BP,1
GO:0070842,0.9593815069554639,0.32181168289155343,2,3,aggresome assembly,BP,1
GO:0022836,0.9594670698389067,0.07586634506186785,65,79,gated channel activity,MF,1
GO:0001956,0.9594987652463907,0.11500381799958079,17,22,positive regulation of neurotransmitter secretion,BP,1
GO:0033158,0.9596010784749816,0.12878457085915448,13,17,NA,NA,1
GO:0097688,0.9597535719569806,0.19722017545173037,5,7,glutamate receptor clustering,BP,1
GO:0045779,0.9597988828046867,0.3202960335541182,2,3,negative regulation of bone resorption,BP,1
GO:0044611,0.9598286867942052,0.3201874465793943,2,3,nuclear pore inner ring,CC,1
GO:0098888,0.9599567731267247,0.319720234370788,2,3,extrinsic component of presynaptic membrane,CC,1
GO:0099243,0.9599567731267247,0.319720234370788,2,3,extrinsic component of synaptic membrane,CC,1
GO:0045923,0.9599594297545619,0.1279496888145898,13,17,positive regulation of fatty acid metabolic process,BP,1
GO:0031111,0.9599983811550448,0.10413381520222942,22,28,negative regulation of microtubule polymerization or depolymerization,BP,1
GO:2000586,0.9601370802389264,0.31906103153873844,2,3,regulation of platelet-derived growth factor receptor-beta signaling pathway,BP,1
GO:0099638,0.9602089272911605,0.19586069580493945,5,7,endosome to plasma membrane protein transport,BP,1
GO:0036435,0.9602545804601053,0.1957240259900847,5,7,K48-linked polyubiquitin modification-dependent protein binding,MF,1
GO:0031267,0.9602933698700378,0.056713397116352586,250,294,small GTPase binding,MF,1
GO:0032356,0.9603654042899656,0.19539197481300977,5,7,oxidized DNA binding,MF,1
GO:1903715,0.9603968148228197,0.19529778930220137,5,7,regulation of aerobic respiration,BP,1
GO:0061792,0.9604271121921457,0.19520691102486656,5,7,secretory granule maturation,BP,1
GO:0001408,0.9604400790989653,0.3179492650150182,2,3,guanine nucleotide transport,BP,1
GO:0001409,0.9604400790989653,0.3179492650150182,2,3,guanine nucleotide transmembrane transporter activity,MF,1
GO:1903790,0.9604400790989653,0.3179492650150182,2,3,guanine nucleotide transmembrane transport,BP,1
