go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0046903,16,GO:0006810,1.7612799819800875,157,secretion,transport,0.956375,0.63225,0.508
GO:2000026,19,GO:1903706,1.7612799819800875,203,regulation of multicellular organismal development,regulation of hemopoiesis,0.8241171875,0.469,0.627
GO:0030154,6,GO:0048856,1.7540740790966796,984,cell differentiation,anatomical structure development,0.8554140625,0.3525454545454545,0.673
GO:0045893,9,GO:0010468,1.7488433572175084,321,positive regulation of DNA-templated transcription,regulation of gene expression,0.7468828125,0.25129999999999997,0.674
GO:0045595,19,GO:1903706,1.7154710938497928,163,regulation of cell differentiation,regulation of hemopoiesis,0.818203125,0.4107142857142857,0.654
GO:0009887,15,GO:0007423,1.7154710938497928,156,animal organ morphogenesis,sensory organ development,0.8817109375,0.38275000000000003,0.678
GO:0015833,13,GO:0071705,1.7072963186960843,18,peptide transport,nitrogen compound transport,0.9542578125,0.45899999999999996,0.649
GO:0048523,18,GO:0048519,1.7072963186960843,926,negative regulation of cellular process,negative regulation of biological process,0.885140625,0.2932,0.939
GO:0009893,9,GO:0010468,1.7072963186960843,580,positive regulation of metabolic process,regulation of gene expression,0.7916796875000001,0.2631,0.702
GO:0072521,20,GO:0072521,1.7010573690171849,219,purine-containing compound metabolic process,purine-containing compound metabolic process,0.91425,0.522,0
GO:0006163,20,GO:0072521,1.6977148326968168,158,purine nucleotide metabolic process,purine-containing compound metabolic process,0.85171875,0.522,0.956
GO:0051234,16,GO:0006810,1.6893580384467006,2037,establishment of localization,transport,0.939328125,0.45875,0.85
GO:0048869,6,GO:0048856,1.6893580384467006,985,cellular developmental process,anatomical structure development,0.85540625,0.3525454545454545,0.673
GO:0010629,18,GO:0048519,1.6830231538722449,345,negative regulation of gene expression,negative regulation of biological process,0.7774375,0.2986,0.813
GO:0034248,8,GO:0043603,1.666103674163805,3,regulation of amide metabolic process,amide metabolic process,0.8834765625,0.5606666666666666,0.683
GO:0009117,21,GO:0009117,1.6436691123473859,191,nucleotide metabolic process,nucleotide metabolic process,0.8515546875,0.32333333333333336,0
GO:0019222,9,GO:0010468,1.641804717078508,1718,regulation of metabolic process,regulation of gene expression,0.778359375,0.30410000000000004,0.893
GO:0080090,9,GO:0010468,1.635821466298569,1373,regulation of primary metabolic process,regulation of gene expression,0.7719609375,0.29584999999999995,0.844
GO:0071840,12,GO:0022613,1.6286811973046396,2169,cellular component organization or biogenesis,ribonucleoprotein complex biogenesis,0.966546875,0.6092500000000001,0.568
GO:0006753,21,GO:0009117,1.6286811973046396,268,nucleoside phosphate metabolic process,nucleotide metabolic process,0.8473515625,0.30933333333333335,0.953
GO:0048592,15,GO:0007423,1.6280787945196848,1,eye morphogenesis,sensory organ development,0.899,0.41012499999999996,0.763
GO:2000736,19,GO:1903706,1.6263891067723673,4,regulation of stem cell differentiation,regulation of hemopoiesis,0.8689375,0.5307142857142857,0.522
GO:0010453,19,GO:1903706,1.6263891067723673,64,regulation of cell fate commitment,regulation of hemopoiesis,0.8306015625000001,0.42300000000000004,0.433
GO:0015031,10,GO:0006614,1.6263891067723673,386,protein transport,SRP-dependent cotranslational protein targeting to membrane,0.906015625,0.35430000000000006,0.667
GO:0008544,22,GO:0008544,1.6120526202830594,29,epidermis development,epidermis development,0.9170625,0.7185,0
GO:0010604,9,GO:0010468,1.5834318607059183,544,positive regulation of macromolecule metabolic process,regulation of gene expression,0.77865625,0.2599,0.711
GO:0051179,16,GO:0006810,1.5765455912684012,2286,localization,transport,0.942328125,0.47624999999999995,0.809
GO:0048663,6,GO:0048856,1.4916564230054372,28,neuron fate commitment,anatomical structure development,0.874765625,0.4955454545454545,0.425
GO:0022008,6,GO:0048856,1.4797839037625582,366,neurogenesis,anatomical structure development,0.8373515625,0.2859090909090909,0.655
GO:0009161,21,GO:0009117,1.4666537053308004,28,ribonucleoside monophosphate metabolic process,nucleotide metabolic process,0.876,0.3101666666666667,0.741
GO:0007399,6,GO:0048856,1.4564178658700955,451,nervous system development,anatomical structure development,0.8600703125,0.353090909090909,0.686
GO:0000377,5,GO:0006139,1.4557263841585393,162,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",nucleobase-containing compound metabolic process,0.828328125,0.38963636363636367,0.488
GO:0000398,5,GO:0006139,1.4557263841585393,162,"mRNA splicing, via spliceosome",nucleobase-containing compound metabolic process,0.8208984375,0.3031818181818182,0.488
GO:0048468,6,GO:0048856,1.4464260349310316,567,cell development,anatomical structure development,0.8575234375,0.3845454545454545,0.671
GO:0051252,9,GO:0010468,1.4437158182103806,1083,regulation of RNA metabolic process,regulation of gene expression,0.733984375,0.29315,0.831
GO:0019219,9,GO:0010468,1.4313938741391619,1132,regulation of nucleobase-containing compound metabolic process,regulation of gene expression,0.74684375,0.29725,0.818
GO:1904396,23,GO:1904396,1.4167650473553857,19,regulation of neuromuscular junction development,regulation of neuromuscular junction development,0.92375,0.5005,0
GO:0032501,17,GO:0048598,1.4099645543180943,2388,multicellular organismal process,embryonic morphogenesis,0.9369296874999999,0.6663333333333333,0.462
