category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0007525,6.022695725355856e-4,0.9998143821205918,16,59,somatic muscle development,BP,0.04044859237151015,1,over
GO:0051028,6.044846573978239e-4,0.9997697744099748,22,94,mRNA transport,BP,0.040456395039385605,1,over
GO:1901135,6.110736437123138e-4,0.9995928012886528,106,664,carbohydrate derivative metabolic process,BP,0.04069123337846637,1,over
GO:0007596,6.165544347217874e-4,0.9997471132680114,25,114,blood coagulation,BP,0.04069123337846637,1,over
GO:0050817,6.165544347217874e-4,0.9997471132680114,25,114,coagulation,BP,0.04069123337846637,1,over
GO:0030835,6.174718737815871e-4,0.9999448034682595,6,11,negative regulation of actin filament depolymerization,BP,0.04069123337846637,1,over
GO:0070887,6.25546980404207e-4,0.9995458040390829,171,1175,cellular response to chemical stimulus,BP,0.04101162601119418,1,over
GO:0002576,6.35169381243875e-4,0.9998455054392886,12,38,platelet degranulation,BP,0.04136111426849896,1,over
GO:0019222,6.607872738841392e-4,0.9994747147629474,373,2801,regulation of metabolic process,BP,0.04274051914133149,1,over
GO:0090150,6.688159738590582e-4,0.9996824598566678,34,161,establishment of protein localization to membrane,BP,0.04297142632044449,1,over
GO:0043217,6.834469046928184e-4,0.9999588682788418,5,8,myelin maintenance,BP,0.04376557836529593,1,over
GO:0090314,6.930971811258792e-4,0.9999138407545565,7,15,positive regulation of protein targeting to membrane,BP,0.04423658333179246,1,over
GO:0006801,7.023975475392381e-4,0.999912476803208,7,15,superoxide metabolic process,BP,0.044574315493681266,1,over
GO:0016999,7.030138474749211e-4,0.9997451833577596,20,79,antibiotic metabolic process,BP,0.044574315493681266,1,over
GO:0022618,7.106811216267116e-4,0.9996484509485024,37,186,protein-RNA complex assembly,BP,0.04491271678477005,1,over
GO:0002526,7.277825793708223e-4,0.9998879456861404,8,19,acute inflammatory response,BP,0.045693841098933555,1,over
GO:0006605,7.462358880797216e-4,0.9996022533931472,45,235,protein targeting,BP,0.04654918039720593,1,over
GO:0050657,7.564716557695325e-4,0.9996557190349813,30,146,nucleic acid transport,BP,0.046733946041531214,1,over
GO:0050658,7.564716557695325e-4,0.9996557190349813,30,146,RNA transport,BP,0.046733946041531214,1,over
GO:0006518,7.645304470862392e-4,0.9995549914600852,59,331,peptide metabolic process,BP,0.047080908522643,1,over
GO:0032693,7.709086127608265e-4,0.9999806688700189,4,5,negative regulation of interleukin-10 production,BP,0.0473224952578501,1,over
GO:0019321,8.047449057232139e-4,0.9999241156463056,6,11,pentose metabolic process,BP,0.048932044346419394,1,over
GO:0097039,8.212774609226663e-4,0.9999790342167304,4,5,protein linear polyubiquitination,BP,0.04968291679772085,1,over
GO:0007599,8.237177524765492e-4,0.9996542999126142,25,116,hemostasis,BP,0.04968291679772085,1,over
GO:0034614,8.248266342552878e-4,0.9996782958384867,22,93,cellular response to reactive oxygen species,BP,0.04968291679772085,1,over
