category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:1900119,0.22086325527243236,0.9499163084517851,2,8,positive regulation of execution phase of apoptosis,BP,1,1
GO:0045604,0.22114426815948796,0.9118723021365946,4,22,regulation of epidermal cell differentiation,BP,1,1
GO:0032463,0.22132213303725892,0.9497440399669369,2,8,negative regulation of protein homooligomerization,BP,1,1
GO:0038003,0.22138992761331167,0.9861775787329604,1,2,G protein-coupled opioid receptor signaling pathway,BP,1,1
GO:0048484,0.22141453526900476,0.9497093195130122,2,8,enteric nervous system development,BP,1,1
GO:0010470,0.2215436936918642,0.8914285926696631,6,37,regulation of gastrulation,BP,1,1
GO:0000957,0.22155501094228963,0.9861555801123315,1,2,mitochondrial RNA catabolic process,BP,1,1
GO:0000958,0.22155501094228963,0.9861555801123315,1,2,mitochondrial mRNA catabolic process,BP,1,1
GO:0044528,0.22155501094228963,0.9861555801123315,1,2,regulation of mitochondrial mRNA stability,BP,1,1
GO:0006921,0.22155833883168774,0.9116405292007411,4,22,cellular component disassembly involved in execution phase of apoptosis,BP,1,1
GO:0042159,0.22159374951297833,0.9496419490537045,2,8,lipoprotein catabolic process,BP,1,1
GO:0098877,0.221683905978313,0.9496080422993904,2,8,neurotransmitter receptor transport to plasma membrane,BP,1,1
GO:0055116,0.2218703783961619,0.986113499850775,1,2,entry into reproductive diapause,BP,1,1
GO:0006020,0.2225035750493093,0.9492993136169062,2,8,inositol metabolic process,BP,1,1
GO:2000018,0.22257113349656377,0.9860197370929138,1,2,regulation of male gonad development,BP,1,1
GO:2000020,0.22257113349656377,0.9860197370929138,1,2,positive regulation of male gonad development,BP,1,1
GO:0002407,0.22280547407189413,0.9859883018946402,1,2,dendritic cell chemotaxis,BP,1,1
GO:0051892,0.2228402683231593,0.9859836310673382,1,2,negative regulation of cardioblast differentiation,BP,1,1
GO:0046498,0.22298169544593144,0.9491188457418783,2,8,S-adenosylhomocysteine metabolic process,BP,1,1
GO:0035640,0.2231639661803145,0.9261790493452573,3,15,exploration behavior,BP,1,1
GO:0007530,0.22333518428940657,0.8830680675662053,7,45,sex determination,BP,1,1
GO:0032729,0.2233589518278882,0.9489762497536844,2,8,positive regulation of type II interferon production,BP,1,1
GO:0042308,0.2234119092049992,0.9106005199320512,4,22,negative regulation of protein import into nucleus,BP,1,1
GO:1904590,0.2234119092049992,0.9106005199320512,4,22,negative regulation of protein import,BP,1,1
GO:0046041,0.22398138662098105,0.9858299560776341,1,2,ITP metabolic process,BP,1,1
GO:0008037,0.2240006819123774,0.8572878087386157,13,93,cell recognition,BP,1,1
GO:0036268,0.22452963992126856,0.9857557841167078,1,2,swimming,BP,1,1
GO:0046580,0.2246711332776243,0.8821690728113779,7,45,negative regulation of Ras protein signal transduction,BP,1,1
GO:0060126,0.22486653278932536,0.9857100975398188,1,2,somatotropin secreting cell differentiation,BP,1,1
GO:0090326,0.22516794581044872,0.9251882888366476,3,15,positive regulation of locomotion involved in locomotory behavior,BP,1,1
GO:0045955,0.22527224205849603,0.9482503514903233,2,8,negative regulation of calcium ion-dependent exocytosis,BP,1,1
GO:1903699,0.2254982187186033,0.9856242095497635,1,2,tarsal gland development,BP,1,1
GO:1903964,0.2254982187186033,0.9856242095497635,1,2,monounsaturated fatty acid metabolic process,BP,1,1
GO:1903966,0.2254982187186033,0.9856242095497635,1,2,monounsaturated fatty acid biosynthetic process,BP,1,1
GO:0008206,0.2255862363096715,0.8976474239701504,5,30,bile acid metabolic process,BP,1,1
GO:0060715,0.22560035731726816,0.9856102946770546,1,2,syncytiotrophoblast cell differentiation involved in labyrinthine layer development,BP,1,1
GO:1902894,0.22580320038138152,0.9480481045756537,2,8,negative regulation of miRNA transcription,BP,1,1
GO:0070304,0.22610578256561575,0.8587178698305886,12,84,positive regulation of stress-activated protein kinase signaling cascade,BP,1,1
GO:1990798,0.2261672732994549,0.9855329216495745,1,2,pancreas regeneration,BP,1,1
GO:1901224,0.22617488213451084,0.9090427230355579,4,22,positive regulation of non-canonical NF-kappaB signal transduction,BP,1,1
GO:0003382,0.2262531153114079,0.897238427255886,5,30,epithelial cell morphogenesis,BP,1,1
GO:0007593,0.2266536257182193,0.947723443316602,2,8,chitin-based cuticle sclerotization,BP,1,1
GO:0060291,0.22678584297963045,0.9243847828963092,3,15,long-term synaptic potentiation,BP,1,1
GO:0000097,0.22699138591509138,0.9242824713072503,3,15,sulfur amino acid biosynthetic process,BP,1,1
GO:0045663,0.22706716183968723,0.9475652471460553,2,8,positive regulation of myoblast differentiation,BP,1,1
GO:0036092,0.227466585075635,0.9079379793254512,4,23,phosphatidylinositol-3-phosphate biosynthetic process,BP,1,1
GO:0097026,0.22750041963060366,0.9853500428066886,1,2,dendritic cell dendrite assembly,BP,1,1
GO:1990074,0.22753743591335915,0.9853449463240188,1,2,polyuridylation-dependent mRNA catabolic process,BP,1,1
GO:0032277,0.22787437138047328,0.9852985099324045,1,2,negative regulation of gonadotropin secretion,BP,1,1
GO:0033684,0.22787437138047328,0.9852985099324045,1,2,regulation of luteinizing hormone secretion,BP,1,1
GO:0033685,0.22787437138047328,0.9852985099324045,1,2,negative regulation of luteinizing hormone secretion,BP,1,1
GO:0046877,0.22787437138047328,0.9852985099324045,1,2,regulation of saliva secretion,BP,1,1
GO:0060042,0.22789415326872306,0.8964962688694011,5,29,retina morphogenesis in camera-type eye,BP,1,1
GO:1903423,0.2280948913672563,0.9237322955069459,3,15,positive regulation of synaptic vesicle recycling,BP,1,1
GO:0046174,0.22827607905042327,0.9236418168832233,3,15,polyol catabolic process,BP,1,1
GO:0060561,0.22914579694161566,0.9467668721119845,2,8,apoptotic process involved in morphogenesis,BP,1,1
GO:0006821,0.22929538606213506,0.8953662975277863,5,30,chloride transport,BP,1,1
GO:0098734,0.22939455503845077,0.9466709695013605,2,8,macromolecule depalmitoylation,BP,1,1
GO:0002724,0.22943609643762877,0.9466549467704491,2,8,regulation of T cell cytokine production,BP,1,1
GO:0090181,0.2307330434446377,0.8944780102267832,5,30,regulation of cholesterol metabolic process,BP,1,1
GO:0030522,0.23119985453590858,0.8518330973358338,13,92,intracellular receptor signaling pathway,BP,1,1
GO:0007031,0.2312602301943461,0.8777086286440576,7,45,peroxisome organization,BP,1,1
GO:0090050,0.23133742311802144,0.9221069682058178,3,15,positive regulation of cell migration involved in sprouting angiogenesis,BP,1,1
GO:0030201,0.2318363138999494,0.9058226486589945,4,22,heparan sulfate proteoglycan metabolic process,BP,1,1
GO:0098876,0.2318780398775811,0.8711586607414403,8,53,vesicle-mediated transport to the plasma membrane,BP,1,1
GO:0016482,0.23212587361742398,0.8415084225826446,17,127,cytosolic transport,BP,1,1
GO:0042310,0.23300284995277168,0.9452712706793368,2,8,vasoconstriction,BP,1,1
GO:0007450,0.23304762325144082,0.8930430649453845,5,30,"dorsal/ventral pattern formation, imaginal disc",BP,1,1
GO:1902103,0.23324020651327082,0.9845476851508383,1,2,negative regulation of metaphase/anaphase transition of meiotic cell cycle,BP,1,1
GO:1905133,0.23324020651327082,0.9845476851508383,1,2,negative regulation of meiotic chromosome separation,BP,1,1
GO:0070525,0.23390628598945293,0.9449182957953045,2,8,tRNA threonylcarbamoyladenosine metabolic process,BP,1,1
GO:0033339,0.23440403459811196,0.9447233925136915,2,8,pectoral fin development,BP,1,1
GO:0071071,0.2344113010859356,0.9205542147338301,3,15,regulation of phospholipid biosynthetic process,BP,1,1
GO:2000050,0.23471921610639535,0.9197821230115943,3,16,regulation of non-canonical Wnt signaling pathway,BP,1,1
GO:0022611,0.2350045647016087,0.9036162239310467,4,23,dormancy process,BP,1,1
GO:0022037,0.23525579801951385,0.8634529217015742,9,62,metencephalon development,BP,1,1
GO:0008407,0.23592415063981648,0.9030844353923585,4,23,chaeta morphogenesis,BP,1,1
GO:0006664,0.23682540750495473,0.8579944243743332,10,68,glycolipid metabolic process,BP,1,1
GO:0009755,0.2373841513433656,0.8575812107133054,10,68,hormone-mediated signaling pathway,BP,1,1
GO:0002758,0.23744967667352193,0.8733260039198979,7,46,innate immune response-activating signaling pathway,BP,1,1
GO:0060149,0.23747754199095722,0.9435131067855653,2,8,negative regulation of post-transcriptional gene silencing,BP,1,1
GO:0010896,0.23755520645443068,0.9189540603010111,3,15,regulation of triglyceride catabolic process,BP,1,1
GO:0021871,0.23940254407915346,0.9427491226501737,2,8,forebrain regionalization,BP,1,1
GO:0010810,0.23941369486030156,0.8519567696562163,11,78,regulation of cell-substrate adhesion,BP,1,1
