category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0006260,0.08018100305143516,0.9886498308292891,2,166,DNA replication,BP,1,0.9999964912460819
GO:0007051,0.08080601833557363,0.988513807905498,2,161,spindle organization,BP,1,0.9999964912460819
GO:0036297,0.08109352129874932,0.9968317105671052,1,30,interstrand cross-link repair,BP,1,0.9999964912460819
GO:0051304,0.0825783239142531,0.9967165870943226,1,29,chromosome separation,BP,1,0.9999964912460819
GO:0048542,0.08347485769379663,0.9966398897236693,1,30,lymph gland development,BP,1,0.9999964912460819
GO:1902369,0.08433959566177106,0.9965552803885037,1,34,negative regulation of RNA catabolic process,BP,1,0.9999964912460819
GO:0071103,0.08586154305877876,0.987364000074012,2,166,DNA conformation change,BP,1,0.9999964912460819
GO:0007291,0.08643211495277779,0.9963977327312332,1,29,sperm individualization,BP,1,0.9999964912460819
GO:0007283,0.08648535922080829,0.9801389001248143,3,365,spermatogenesis,BP,1,0.9999964912460819
GO:0045005,0.08952011990494989,0.9961225742242436,1,31,DNA-templated DNA replication maintenance of fidelity,BP,1,0.9999964912460819
GO:0002920,0.08957118276708018,0.9961180745482684,1,31,regulation of humoral immune response,BP,1,0.9999964912460819
GO:0040020,0.09193901372319829,0.9958913580618495,1,35,regulation of meiotic nuclear division,BP,1,0.9999964912460819
GO:0007591,0.0927800559888636,0.9958180182985539,1,34,"molting cycle, chitin-based cuticle",BP,1,0.9999964912460819
GO:0006325,0.098304441915725,0.9761645462731546,3,394,chromatin organization,BP,1,0.9999964912460819
GO:0098813,0.10164986242690344,0.9835085698520132,2,183,nuclear chromosome segregation,BP,1,0.9999964912460819
GO:0032481,0.1034054810311137,0.9947799543319072,1,35,positive regulation of type I interferon production,BP,1,0.9999964912460819
GO:0003006,0.10352257547264007,0.9634645936051536,5,884,developmental process involved in reproduction,BP,1,0.9999964912460819
GO:0006998,0.10557806606027093,0.9945312198620478,1,41,nuclear envelope organization,BP,1,0.9999964912460819
GO:0008543,0.10662536540631093,0.9944137192503701,1,43,fibroblast growth factor receptor signaling pathway,BP,1,0.9999964912460819
GO:0000079,0.10797780186467781,0.9942596015632752,1,46,regulation of cyclin-dependent protein serine/threonine kinase activity,BP,1,0.9999964912460819
GO:0007276,0.10813840795552171,0.9613241662161124,5,889,gamete generation,BP,1,0.9999964912460819
GO:0051056,0.10829223299099955,0.9817851956802266,2,170,regulation of small GTPase mediated signal transduction,BP,1,0.9999964912460819
GO:0007131,0.10894294691841472,0.9941936496926128,1,35,reciprocal meiotic recombination,BP,1,0.9999964912460819
GO:0035825,0.10894294691841472,0.9941936496926128,1,35,homologous recombination,BP,1,0.9999964912460819
GO:2001237,0.11025521745885751,0.9940219055019315,1,42,negative regulation of extrinsic apoptotic signaling pathway,BP,1,0.9999964912460819
GO:0045667,0.110327439854185,0.9939989793462513,1,47,regulation of osteoblast differentiation,BP,1,0.9999964912460819
GO:0050982,0.1122500285608817,0.9938061778602768,1,40,detection of mechanical stimulus,BP,1,0.9999964912460819
GO:0009064,0.1184078187568554,0.9930762810915927,1,44,glutamine family amino acid metabolic process,BP,1,0.9999964912460819
