gene,category
Montipora_capitata_HIv3___TS.g26755.t2,ko00970
Montipora_capitata_HIv3___TS.g26755.t2,ko01100
Montipora_capitata_HIv3___RNAseq.g5060.t1,ko00240
Montipora_capitata_HIv3___RNAseq.g5060.t1,ko00670
Montipora_capitata_HIv3___RNAseq.g5060.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g5060.t1,ko01523
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04010
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04013
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04064
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04120
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04140
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04144
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04214
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04380
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04620
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04621
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04622
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04657
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko04722
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05133
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05140
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05142
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05145
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05152
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05160
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05162
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05168
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05169
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05200
Montipora_capitata_HIv3___RNAseq.g5046.t1c,ko05222
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04010
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04013
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04064
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04120
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04140
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04144
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04214
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04380
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04620
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04621
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04622
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04657
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko04722
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05133
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05140
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05142
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05145
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05152
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05160
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05162
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05168
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05169
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g5053.t1,ko05222
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko01524
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko04115
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko04210
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko04214
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko04215
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05010
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05012
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05014
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05016
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05134
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05152
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05161
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g5066.t1,ko05222
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko01524
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko04115
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko04210
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko04214
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko04215
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05010
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05012
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05014
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05016
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05134
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05152
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05161
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g5067.t1,ko05222
Montipora_capitata_HIv3___TS.g26801.t2,ko00270
Montipora_capitata_HIv3___TS.g26801.t2,ko01100
Montipora_capitata_HIv3___RNAseq.g5068.t1b,ko03010
Montipora_capitata_HIv3___RNAseq.g5098.t1,ko04623
