go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0000245,10,GO:0065003,2.625121378886367,21,spliceosomal complex assembly,protein-containing complex assembly,0.8137972972972973,0.36987500000000006,0.743
GO:0009126,13,GO:0009141,2.597132292518809,20,purine nucleoside monophosphate metabolic process,nucleoside triphosphate metabolic process,0.8491351351351352,0.35250000000000004,0.645
GO:0009167,13,GO:0009141,2.597132292518809,20,purine ribonucleoside monophosphate metabolic process,nucleoside triphosphate metabolic process,0.8488378378378378,0.3493571428571428,0.645
GO:0007005,3,GO:0016043,2.584808275169012,122,mitochondrion organization,cellular component organization,0.9326824324324324,0.46219999999999994,0.515
GO:0009199,13,GO:0009141,2.5365453837219434,66,ribonucleoside triphosphate metabolic process,nucleoside triphosphate metabolic process,0.8262364864864865,0.22142857142857142,0.987
GO:0009123,13,GO:0009141,2.5278237439049045,38,nucleoside monophosphate metabolic process,nucleoside triphosphate metabolic process,0.8411283783783784,0.3274285714285714,0.683
GO:1903409,17,GO:1903409,2.4838610983114413,3,reactive oxygen species biosynthetic process,reactive oxygen species biosynthetic process,0.9275202702702703,0.4633333333333334,0
GO:0055086,16,GO:0044281,2.4544643273637905,287,nucleobase-containing small molecule metabolic process,small molecule metabolic process,0.8236689189189189,0.358,0.83
GO:0015986,13,GO:0009141,2.4372423660108877,23,proton motive force-driven ATP synthesis,nucleoside triphosphate metabolic process,0.8229797297297298,0.254,0.897
GO:0009205,13,GO:0009141,2.4372423660108877,62,purine ribonucleoside triphosphate metabolic process,nucleoside triphosphate metabolic process,0.8269932432432432,0.2213571428571428,0.981
GO:0008380,7,GO:0031124,2.418363508269935,207,RNA splicing,mRNA 3'-end processing,0.8452094594594595,0.3004545454545454,0.561
GO:0006396,7,GO:0031124,2.289003936267325,524,RNA processing,mRNA 3'-end processing,0.8376756756756757,0.3396363636363636,0.617
GO:0006139,5,GO:0008152,2.259387004608166,2290,nucleobase-containing compound metabolic process,metabolic process,0.8482364864864864,0.6337999999999999,0.467
GO:0009161,13,GO:0009141,2.25675753189467,28,ribonucleoside monophosphate metabolic process,nucleoside triphosphate metabolic process,0.844695945945946,0.3385,0.666
GO:0019693,18,GO:0019693,2.207118410522401,141,ribose phosphate metabolic process,ribose phosphate metabolic process,0.8584527027027027,0.29825,0
GO:0009144,13,GO:0009141,2.207118410522401,63,purine nucleoside triphosphate metabolic process,nucleoside triphosphate metabolic process,0.8270067567567567,0.2233571428571428,0.982
GO:0007006,3,GO:0016043,2.18953875010046,30,mitochondrial membrane organization,cellular component organization,0.9348648648648649,0.43679999999999997,0.424
