category,universegenes,universecount
GO:0002363,,6
GO:0002366,,297
GO:0002367,,5
GO:0002369,,3
GO:0002376,,963
GO:0002377,,29
GO:0002378,,1
GO:0002381,,13
GO:0002385,,12
GO:0002396,,1
GO:0002397,,1
GO:0002407,,2
GO:0002418,,3
GO:0002429,,79
GO:0002430,,2
GO:0002431,,39
GO:0002432,,1
GO:0002433,,39
GO:0002437,,8
GO:0002438,,2
GO:0002439,,1
GO:0002440,,35
GO:0002441,,2
GO:0002442,,3
GO:0002443,,281
GO:0002444,,259
GO:0002446,,255
GO:0002447,,1
GO:0002448,,4
GO:0002449,,29
GO:0002455,,1
GO:0002456,,10
GO:0002457,,1
GO:0002460,,34
GO:0002467,,2
GO:0002468,,1
GO:0002474,,15
GO:0002475,,3
GO:0002478,,57
GO:0002479,,8
GO:0002495,,50
GO:0002501,,1
GO:0002502,,1
GO:0002504,,50
GO:0002507,,2
GO:0002513,,1
GO:0002520,,384
GO:0002521,,147
GO:0002522,,3
GO:0002523,,4
GO:0002526,,19
GO:0002532,,14
GO:0002534,,2
GO:0002536,,1
GO:0002538,,3
GO:0002540,,3
GO:0002544,,3
GO:0002548,,1
GO:0002551,,1
GO:0002553,,2
GO:0002554,,3
GO:0002560,,1
GO:0002561,,1
GO:0002562,,23
GO:0002565,,1
GO:0002566,,11
GO:0002568,,3
GO:0002573,,52
GO:0002574,,1
GO:0002576,,38
GO:0002577,,4
GO:0002578,,1
GO:0002579,,1
GO:0002580,,1
GO:0002581,,1
GO:0002604,,2
GO:0002605,,1
GO:0002606,,1
GO:0002625,,2
GO:0002631,,1
GO:0002632,,1
GO:0002634,,5
GO:0002635,,1
GO:0002636,,1
GO:0002637,,25
GO:0002638,,5
GO:0002639,,13
GO:0002640,,1
GO:0002642,,1
GO:0002643,,1
GO:0002645,,1
GO:0002664,,1
GO:0002666,,1
GO:0002667,,1
GO:0002669,,1
GO:0002673,,11
GO:0002674,,1
GO:0002675,,5
GO:0002676,,2
GO:0002677,,1
GO:0002678,,1
GO:0002679,,8
GO:0002681,,3
GO:0002682,,514
GO:0002683,,138
GO:0002684,,299
GO:0002685,,40
GO:0002686,,10
GO:0002687,,25
GO:0002688,,20
GO:0002689,,1
GO:0002690,,16
GO:0002691,,4
GO:0002692,,1
GO:0002693,,3
GO:0002694,,147
GO:0002695,,41
GO:0002696,,87
GO:0002697,,142
GO:0002698,,38
GO:0002699,,74
GO:0002700,,60
GO:0002701,,11
GO:0002702,,38
GO:0002703,,53
GO:0002704,,12
GO:0002705,,33
GO:0002706,,38
GO:0002707,,9
GO:0002708,,24
GO:0002709,,17
GO:0002710,,4
GO:0002711,,10
GO:0002712,,14
GO:0002713,,2
GO:0002714,,10
GO:0002715,,7
GO:0002716,,3
GO:0002717,,4
GO:0002718,,18
GO:0002719,,4
GO:0002720,,12
GO:0002721,,1
GO:0002724,,8
GO:0002725,,2
GO:0002726,,6
GO:0002739,,4
GO:0002741,,3
GO:0002753,,14
GO:0002755,,9
GO:0002756,,6
GO:0002757,,102
GO:0002758,,46
GO:0002759,,26
GO:0002760,,13
GO:0002761,,51
GO:0002762,,13
GO:0002763,,24
GO:0002764,,113
GO:0002765,,1
GO:0002767,,1
GO:0002768,,91
GO:0002774,,1
GO:0002775,,1
GO:0002784,,21
GO:0002785,,2
GO:0002786,,5
GO:0002787,,1
GO:0002788,,2
GO:0002790,,99
GO:0002791,,194
GO:0002792,,48
GO:0002793,,110
GO:0002803,,4
GO:0002804,,2
GO:0002805,,11
GO:0002806,,1
GO:0002807,,6
GO:0002808,,5
GO:0002809,,1
GO:0002810,,2
GO:0002813,,3
GO:0002814,,1
GO:0002819,,47
GO:0002820,,7
GO:0002821,,28
GO:0002822,,41
GO:0002823,,7
GO:0002824,,24
GO:0002825,,2
GO:0002827,,2
GO:0002828,,3
GO:0002829,,3
GO:0002831,,99
GO:0002832,,30
GO:0002833,,33
GO:0002861,,6
GO:0002862,,4
GO:0002863,,2
GO:0002864,,3
GO:0002865,,1
GO:0002866,,2
GO:0002883,,1
GO:0002885,,1
GO:0002886,,17
GO:0002887,,3
GO:0002888,,10
GO:0002889,,14
GO:0002890,,2
GO:0002891,,10
GO:0002902,,15
GO:0002903,,9
GO:0002904,,3
GO:0002905,,2
GO:0002906,,2
GO:0002911,,1
GO:0002913,,1
GO:0002920,,31
GO:0002921,,10
GO:0002922,,13
GO:0002926,,1
GO:0002930,,1
GO:0002931,,27
GO:0002933,,3
GO:0002934,,1
GO:0002940,,1
GO:0002943,,8
GO:0002944,,2
GO:0002945,,1
GO:0002946,,2
GO:0002949,,3
GO:0002950,,2
GO:0003002,,413
GO:0003006,,884
GO:0003007,,142
GO:0003008,,690
GO:0003009,,8
GO:0003011,,3
GO:0003012,,99
GO:0003013,,156
GO:0003014,,43
GO:0003015,,47
GO:0003016,,8
GO:0003018,,76
GO:0003032,,3
GO:0003044,,16
GO:0003051,,1
GO:0003053,,2
GO:0003056,,8
GO:0003057,,1
GO:0003062,,5
GO:0003064,,3
GO:0003068,,1
GO:0003069,,1
GO:0003070,,1
GO:0003071,,6
GO:0003072,,3
GO:0003073,,30
GO:0003081,,15
GO:0003083,,1
GO:0003084,,5
GO:0003085,,10
GO:0003091,,9
GO:0003093,,1
GO:0003094,,4
GO:0003096,,10
GO:0003097,,2
GO:0003100,,2
GO:0003105,,1
GO:0003106,,1
GO:0003108,,1
GO:0003116,,1
GO:0003117,,1
GO:0003127,,1
GO:0003128,,6
GO:0003138,,1
GO:0003139,,6
GO:0003140,,5
GO:0003143,,58
GO:0003146,,6
GO:0003147,,1
GO:0003148,,12
GO:0003149,,6
