category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,bh_adjust,gene,pattern
ko00561,0.4120908664915753,0.9024939272428485,1,50,1,Montipora_capitata_HIv3___RNAseq.g27818.t1,1
ko01522,0.4545345605999971,0.8786751671755675,1,55,1,Montipora_capitata_HIv3___RNAseq.g15684.t2,2
ko00562,0.45826689189983233,0.8764754505256931,1,54,1,Montipora_capitata_HIv3___RNAseq.g29575.t1,1
ko04113,0.45840194931219475,0.8763598765118321,1,55,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko04666,0.4725391950398962,0.8675933598192782,1,57,1,Montipora_capitata_HIv3___RNAseq.g27818.t1,1
ko00564,0.4738796012151235,0.8666538704488652,1,60,1,Montipora_capitata_HIv3___RNAseq.g27818.t1,1
ko05231,0.49779147205425994,0.850940676817658,1,62,1,Montipora_capitata_HIv3___RNAseq.g27818.t1,1
ko04391,0.5097246402139086,0.8425870937236634,1,66,1,Montipora_capitata_HIv3___RNAseq.g33365.t1,1
ko04070,0.5293696091786506,0.8284258087712404,1,65,1,Montipora_capitata_HIv3___RNAseq.g29575.t1,1
ko04072,0.5419650254178892,0.8187763172052823,1,69,1,Montipora_capitata_HIv3___RNAseq.g27818.t1,1
ko05165,0.5468396129622548,0.7252557454586697,2,164,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko05165,0.5468396129622548,0.7252557454586697,2,164,1,Montipora_capitata_HIv3___RNAseq.g17086.t1,1
ko01230,0.5618336567133735,0.8028136021759595,1,77,1,Montipora_capitata_HIv3___RNAseq.g33790.t1,3
ko04922,0.5691531326053562,0.796760931628192,1,78,1,Montipora_capitata_HIv3___TS.g5420.t1,2
ko05226,0.5752263941046598,0.7916401408344711,1,79,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko05164,0.5900758784681368,0.778713447048919,1,83,1,Montipora_capitata_HIv3___RNAseq.g48479.t1,3
ko05161,0.5977052269883939,0.7718431965117144,1,86,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
