category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0006620,1,0.9402881915845956,0,10,post-translational protein targeting to endoplasmic reticulum membrane,BP,1,1
GO:0006631,1,0.34504332386397357,0,180,fatty acid metabolic process,BP,1,1
GO:0006633,1,0.6650468940882266,0,70,fatty acid biosynthetic process,BP,1,1
GO:0006635,1,0.7682895098067017,0,47,fatty acid beta-oxidation,BP,1,1
GO:0006637,1,0.6587177973229131,0,72,acyl-CoA metabolic process,BP,1,1
GO:0006642,1,0.9779077753848809,0,4,triglyceride mobilization,BP,1,1
GO:0006643,1,0.5217737534403735,0,108,membrane lipid metabolic process,BP,1,1
GO:0006649,1,0.9959344989602795,0,1,phospholipid transfer to membrane,BP,1,1
GO:0006659,1,0.9435659039648339,0,10,phosphatidylserine biosynthetic process,BP,1,1
GO:0006664,1,0.6601487688677842,0,68,glycolipid metabolic process,BP,1,1
GO:0006665,1,0.6453365389323767,0,73,sphingolipid metabolic process,BP,1,1
GO:0006694,1,0.6602959958343563,0,70,steroid biosynthetic process,BP,1,1
GO:0006697,1,0.9642758257810566,0,6,ecdysone biosynthetic process,BP,1,1
GO:0006699,1,0.860873577300987,0,26,bile acid biosynthetic process,BP,1,1
GO:0006707,1,0.9247562384630585,0,13,cholesterol catabolic process,BP,1,1
GO:0006710,1,0.9753477562325774,0,4,androgen catabolic process,BP,1,1
GO:0006721,1,0.7492210166973178,0,48,terpenoid metabolic process,BP,1,1
GO:0006727,1,0.9091117174360837,0,18,ommochrome biosynthetic process,BP,1,1
GO:0006729,1,0.9820406412365063,0,3,tetrahydrobiopterin biosynthetic process,BP,1,1
GO:0006741,1,0.9785727021881212,0,4,NADP biosynthetic process,BP,1,1
GO:0006754,1,0.7632303016178299,0,46,ATP biosynthetic process,BP,1,1
GO:0006766,1,0.6104195903666803,0,83,vitamin metabolic process,BP,1,1
GO:0006768,1,0.9697869898931146,0,5,biotin metabolic process,BP,1,1
GO:0006781,1,0.9938906393288224,0,1,succinyl-CoA pathway,BP,1,1
GO:0006784,1,0.9881206721459436,0,2,heme A biosynthetic process,BP,1,1
GO:0006833,1,0.9879208023697245,0,2,water transport,BP,1,1
GO:0006837,1,0.9667193252240314,0,6,serotonin transport,BP,1,1
GO:0006839,1,0.41071575144239425,0,147,mitochondrial transport,BP,1,1
GO:0006843,1,0.9940709992287919,0,1,mitochondrial citrate transmembrane transport,BP,1,1
GO:0006850,1,0.9880022047425442,0,2,mitochondrial pyruvate transmembrane transport,BP,1,1
GO:0006851,1,0.921717530709863,0,15,mitochondrial calcium ion transmembrane transport,BP,1,1
GO:0006869,1,0.5740818773105096,0,101,lipid transport,BP,1,1
GO:0006874,1,0.43137414241688243,0,149,intracellular calcium ion homeostasis,BP,1,1
GO:0006898,1,0.644397640100223,0,81,receptor-mediated endocytosis,BP,1,1
GO:0006900,1,0.6767266921816347,0,68,vesicle budding from membrane,BP,1,1
GO:0006907,1,0.9261665959292125,0,14,pinocytosis,BP,1,1
GO:0006936,1,0.646342118866539,0,77,muscle contraction,BP,1,1
GO:0006954,1,0.5680577724127924,0,99,inflammatory response,BP,1,1
GO:0006956,1,0.9956665144733496,0,1,complement activation,BP,1,1
GO:0006959,1,0.8039187913464539,0,38,humoral immune response,BP,1,1
GO:0006964,1,0.9895956346268407,0,2,positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,BP,1,1
GO:0006967,1,0.9882984874874637,0,2,positive regulation of antifungal peptide biosynthetic process,BP,1,1
GO:0006982,1,0.9937199605555546,0,1,response to lipid hydroperoxide,BP,1,1
GO:0006986,1,0.5337058397591685,0,105,response to unfolded protein,BP,1,1
GO:0007004,1,0.9191991375215338,0,15,telomere maintenance via telomerase,BP,1,1
GO:0007006,1,0.6315634073352745,0,76,mitochondrial membrane organization,BP,1,1
GO:0007007,1,0.8269606884128972,0,31,inner mitochondrial membrane organization,BP,1,1
GO:0007021,1,0.9516279065059003,0,8,tubulin complex assembly,BP,1,1
GO:0007031,1,0.7722557394288775,0,45,peroxisome organization,BP,1,1
GO:0007033,1,0.4706537547336755,0,130,vacuole organization,BP,1,1
GO:0007034,1,0.4809457735108116,0,128,vacuolar transport,BP,1,1
GO:0007040,1,0.6524678237640995,0,74,lysosome organization,BP,1,1
GO:0007041,1,0.5700624725432348,0,101,lysosomal transport,BP,1,1
GO:0007063,1,0.8648004231052052,0,27,regulation of sister chromatid cohesion,BP,1,1
GO:0007065,1,0.9945076729197805,0,1,male meiosis sister chromatid cohesion,BP,1,1
GO:0007079,1,0.9795408115913384,0,4,mitotic chromosome movement towards spindle pole,BP,1,1
GO:0007080,1,0.7705709680497792,0,44,mitotic metaphase chromosome alignment,BP,1,1
GO:0007098,1,0.578681356820796,0,96,centrosome cycle,BP,1,1
GO:0007099,1,0.8879471593634474,0,22,centriole replication,BP,1,1
GO:0007156,1,0.9575666240948719,0,9,homophilic cell adhesion via plasma membrane adhesion molecules,BP,1,1
GO:0007161,1,0.991819796043185,0,2,calcium-independent cell-matrix adhesion,BP,1,1
GO:0007162,1,0.6201153412692624,0,85,negative regulation of cell adhesion,BP,1,1
GO:0007175,1,0.9455781173238564,0,9,negative regulation of epidermal growth factor-activated receptor activity,BP,1,1
GO:0007176,1,0.9070646638560808,0,16,regulation of epidermal growth factor-activated receptor activity,BP,1,1
GO:0007178,1,0.5968862705470468,0,91,cell surface receptor protein serine/threonine kinase signaling pathway,BP,1,1
GO:0007179,1,0.7089079252529169,0,61,transforming growth factor beta receptor signaling pathway,BP,1,1
GO:0007185,1,0.983973311797691,0,4,cell surface receptor protein tyrosine phosphatase signaling pathway,BP,1,1
GO:0007186,1,0.42054518439020977,0,154,G protein-coupled receptor signaling pathway,BP,1,1
GO:0007187,1,0.8472579470643733,0,28,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",BP,1,1
