module,Count,Percent,Term,GO.IDs,n_goids,n_genes,genes,DEdueto,pattern
leachate_up,26,1.7820424948594928,chromosome segregation,GO:0000070;GO:0000819;GO:0007091;GO:0007094;GO:0010965;GO:0030071;GO:0033045;GO:0033046;GO:0033047;GO:0033048;GO:0044784;GO:0044785;GO:0045841;GO:0051225;GO:0051983;GO:0051985;GO:0051988;GO:0090307;GO:0098813;GO:1902099;GO:1902100;GO:1905818;GO:1905819;GO:1990949;GO:2000816; GO:0007059,26,3,Montipora_capitata_HIv3___RNAseq.27502_t;Montipora_capitata_HIv3___RNAseq.g33365.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1,leachate,up
leachate_up,3,0.20562028786840303,cell adhesion,GO:0030155;GO:0045785; GO:0007155,3,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,leachate,up
leachate_up,6,0.41124057573680606,establishment or maintenance of cell polarity,GO:0008103;GO:0016325;GO:0030010;GO:0030951;GO:0030952; GO:0007163,6,3,Montipora_capitata_HIv3___RNAseq.g15754.t1;Montipora_capitata_HIv3___RNAseq.g29575.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1,leachate,up
leachate_up,0,0,glycoprotein biosynthetic process,,0,0,,leachate,up
leachate_up,27,1.850582590815627,programmed cell death,GO:0006915;GO:0008630;GO:0010656;GO:0010660;GO:0010662;GO:0010664;GO:0042771;GO:0042981;GO:0043065;GO:0043066;GO:0043067;GO:0043068;GO:0043069;GO:0043523;GO:0043524;GO:0044336;GO:0044337;GO:0046668;GO:0046669;GO:0046671;GO:0046673;GO:0072332;GO:0097190;GO:0097193;GO:2000269;GO:2000271; GO:0012501,27,9,Montipora_capitata_HIv3___RNAseq.g33365.t1;Montipora_capitata_HIv3___RNAseq.g39730.t1;Montipora_capitata_HIv3___RNAseq.g527.t1b;Montipora_capitata_HIv3___RNAseq.g11828.t1;Montipora_capitata_HIv3___RNAseq.g26744.t1;Montipora_capitata_HIv3___RNAseq.g26803.t1;Montipora_capitata_HIv3___RNAseq.g40764.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g7741.t1,leachate,up
leachate_up,0,0,photosynthesis,,0,0,,leachate,up
leachate_up,4,0.27416038382453733,mRNA metabolic process,GO:0000956;GO:0006402;GO:0070481; GO:0016071,4,1,Montipora_capitata_HIv3___RNAseq.g26744.t1,leachate,up
leachate_up,3,0.20562028786840303,snRNA metabolic process,GO:0009301;GO:0042795; GO:0016073,3,1,Montipora_capitata_HIv3___RNAseq.g5394.t1,leachate,up
leachate_up,51,3.495544893762851,vesicle-mediated transport,GO:0002090;GO:0002092;GO:0006887;GO:0006888;GO:0006890;GO:0006892;GO:0006895;GO:0006897;GO:0006903;GO:0006906;GO:0006909;GO:0006911;GO:0016079;GO:0016082;GO:0016197;GO:0017156;GO:0017157;GO:0017158;GO:0030100;GO:0031338;GO:0031629;GO:0036465;GO:0042147;GO:0043277;GO:0043299;GO:0043312;GO:0043652;GO:0045055;GO:0045807;GO:0045920;GO:0045921;GO:0045956;GO:0048193;GO:0048259;GO:0048260;GO:0048488;GO:0060627;GO:0060628;GO:0098693;GO:0099003;GO:0099500;GO:0099504;GO:0140029;GO:1902953;GO:1903305;GO:1903307;GO:2000300;GO:2000302;GO:2000369;GO:2000370; GO:0016192,51,11,Montipora_capitata_HIv3___TS.g38156.t1c;Montipora_capitata_HIv3___RNAseq.g11410.t1;Montipora_capitata_HIv3___RNAseq.g41261.t1;Montipora_capitata_HIv3___RNAseq.g30106.t1a;Montipora_capitata_HIv3___RNAseq.g30158.t1;Montipora_capitata_HIv3___RNAseq.g23082.t1;Montipora_capitata_HIv3___RNAseq.g15754.t1;Montipora_capitata_HIv3___RNAseq.g7364.t1;Montipora_capitata_HIv3___RNAseq.g40764.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g45000.t1,leachate,up
leachate_up,84,5.757368060315285,reproductive process,GO:0000710;GO:0003006;GO:0007127;GO:0007135;GO:0007140;GO:0007143;GO:0007144;GO:0007147;GO:0007276;GO:0007281;GO:0007283;GO:0007286;GO:0007292;GO:0007293;GO:0007294;GO:0007297;GO:0007298;GO:0007308;GO:0007309;GO:0007310;GO:0007312;GO:0007548;GO:0008103;GO:0008406;GO:0008584;GO:0008585;GO:0009994;GO:0016325;GO:0018991;GO:0019098;GO:0019953;GO:0022412;GO:0030706;GO:0030707;GO:0030720;GO:0030727;GO:0030728;GO:0033206;GO:0040020;GO:0040038;GO:0044703;GO:0044771;GO:0044785;GO:0045137;GO:0045138;GO:0045478;GO:0046545;GO:0046546;GO:0046660;GO:0046661;GO:0048134;GO:0048135;GO:0048136;GO:0048137;GO:0048232;GO:0048477;GO:0048515;GO:0048599;GO:0048608;GO:0048609;GO:0051321;GO:0051445;GO:0051446;GO:0051663;GO:0060281;GO:0060282;GO:0060768;GO:0060770;GO:0061982;GO:0061983;GO:0090598;GO:0140013;GO:1900193;GO:1900195;GO:1903046;GO:1903538;GO:1904146;GO:1905879;GO:1905881;GO:1990949;GO:2000241;GO:2000242;GO:2000243; GO:0022414,84,14,Montipora_capitata_HIv3___RNAseq.g39730.t1;Montipora_capitata_HIv3___RNAseq.g527.t1b;Montipora_capitata_HIv3___RNAseq.g24646.t1;Montipora_capitata_HIv3___RNAseq.g26803.t1;Montipora_capitata_HIv3___RNAseq.g41261.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g29575.t1;Montipora_capitata_HIv3___TS.g15697.t1;Montipora_capitata_HIv3___RNAseq.g33365.t1;Montipora_capitata_HIv3___RNAseq.g15754.t1;Montipora_capitata_HIv3___RNAseq.g17086.t1;Montipora_capitata_HIv3___RNAseq.27502_t;Montipora_capitata_HIv3___RNAseq.g11410.t1;Montipora_capitata_HIv3___RNAseq.g37643.t1,leachate,up
