101112H4_R2_001	9250.0	6006.5	2238.5	1602.5	1609.5	2180.0	3388.0	5325.5	8216.5	12235.0	17557.5	23790.5	30765.5	38265.5	44943.5	50671.0	55660.0	59870.0	64609.5	69138.5	71249.0	72160.0	72962.0	73324.0	74097.0	76840.5	83468.0	92781.5	102628.0	114896.5	130595.0	149693.0	168015.0	186924.5	215294.5	242161.5	269081.5	304035.5	329997.5	343588.0	358023.0	374808.5	390805.0	404669.0	426359.0	457219.0	487806.5	517934.5	559268.5	608948.5	656564.5	709377.0	767552.5	815350.0	836355.5	838763.5	819164.0	768448.5	704127.0	634386.5	554970.0	477346.0	404133.0	336258.5	273648.5	218078.5	175736.0	140202.0	110783.0	88042.5	71564.5	57573.0	44266.0	34563.0	28095.0	22798.5	17087.5	11594.0	7973.0	5894.5	4388.0	3429.5	2638.0	2067.5	1732.5	1449.0	1143.0	933.0	826.0	776.0	756.5	698.0	671.5	669.0	653.0	710.5	890.0	1206.5	1750.0	2983.0	11310.5
101112H9_R1_001	4103.0	3171.5	1804.0	1294.0	1254.0	1632.5	2442.0	3889.5	6141.0	9162.5	13227.5	17891.0	23237.5	29027.0	34442.5	38827.5	42533.0	46492.0	50744.0	54668.0	56953.0	58300.0	60336.5	63610.0	68415.5	75105.5	86960.0	102026.0	118785.5	141069.5	166763.5	198146.0	233918.0	274652.0	326060.0	378071.5	433482.0	499353.0	560999.5	610839.0	656625.5	700746.5	736736.5	753576.5	755509.0	755993.5	751860.0	719214.0	681303.0	652614.0	625375.0	608226.0	592280.0	578122.5	549259.5	524064.5	508961.0	472462.5	426755.5	384264.0	336299.5	296713.0	260976.0	213988.0	168047.0	136586.5	118930.0	96000.5	72689.0	62265.0	62094.0	53313.5	36984.5	29203.5	26393.0	23382.5	15722.5	8232.0	4546.5	2909.0	2200.0	1572.5	1017.5	754.5	565.0	418.5	291.0	228.0	188.0	144.0	109.5	91.0	81.5	65.5	60.0	59.5	55.5	52.0	49.0	37.0	15.0
101112H9_R2_001	5967.0	4224.5	2088.5	1567.5	1554.5	1986.0	2904.0	4472.0	6749.0	9926.5	13925.0	18850.5	24457.5	29958.0	35299.0	40185.5	44018.5	47598.5	51201.5	55216.0	58367.5	59884.0	62124.5	64921.5	68885.5	76112.5	87980.0	103694.5	120845.5	142556.5	168658.0	200182.5	236277.0	276069.5	326273.0	378576.0	434558.0	500451.5	560632.0	608177.0	653396.5	696855.5	730138.5	745797.5	749316.0	751299.5	747813.0	716170.5	677116.0	649364.5	624262.5	607443.0	590130.0	574134.5	546050.5	519842.0	504867.5	470106.0	424758.5	382794.5	335343.5	295695.0	260023.5	212782.5	167202.5	134870.0	115913.5	94735.5	73652.0	63975.0	62354.5	53609.5	38257.5	30358.0	27212.0	23476.5	16372.5	9530.0	5758.0	3955.5	3095.5	2379.5	1802.0	1563.0	1372.0	1191.0	1038.0	921.0	809.5	768.0	744.0	709.0	695.5	688.5	701.0	736.0	871.0	1126.0	1601.5	2712.0	10079.0
101112L14_R1_001	781.0	636.5	422.5	345.5	391.5	487.0	681.5	1096.0	1623.0	2322.0	3285.5	4512.5	5893.5	7355.5	8764.5	9912.5	11200.5	12553.0	14201.5	16399.5	18356.0	20423.5	23681.0	28637.0	35513.0	45210.5	58274.0	75566.0	96686.5	121854.5	152616.0	190360.0	232907.5	279828.0	335480.5	397959.5	465697.5	542656.5	622145.5	698891.5	771481.5	834709.0	886009.0	917157.0	928861.5	922113.0	896726.5	851560.0	796335.0	733068.0	670316.0	617981.0	564494.5	519010.0	475099.5	432629.5	400448.5	364658.0	323635.0	282680.0	242909.0	208776.5	177674.0	146696.0	118691.5	97269.5	81854.5	65971.5	51247.0	42775.0	39160.0	33059.5	24120.0	18271.5	15355.0	13026.0	9215.5	5263.0	3033.5	1978.0	1418.0	993.5	598.0	400.0	269.5	210.5	162.5	111.5	84.0	64.5	50.0	44.0	40.5	37.0	28.5	20.0	21.0	26.0	30.5	19.5	5.5
101112L14_R2_001	1112.0	879.5	575.5	534.5	595.5	713.0	960.5	1398.0	1987.0	2744.5	3719.5	4883.0	6232.5	7890.0	9438.5	10787.5	12044.0	13239.0	15009.5	17258.0	19343.0	21882.0	25341.0	30383.5	37549.0	47123.5	60408.5	77523.0	98785.0	124814.0	155923.0	193371.0	235922.5	283338.0	339753.5	400874.5	466223.0	543310.5	623451.5	697691.5	767292.0	829786.0	879294.0	909169.0	921221.5	914999.5	889205.0	844506.0	789964.0	729428.5	668383.5	614408.5	562600.5	517152.0	472843.5	431673.0	399355.0	364143.0	324280.5	283977.0	243857.5	210329.0	179474.5	147751.0	118944.0	97337.0	82036.5	66382.0	52449.5	43624.0	39809.0	33872.0	25024.0	19312.0	16309.5	13749.0	9865.0	6126.5	3996.5	2835.0	2110.0	1643.0	1255.0	998.0	803.0	692.0	649.0	568.0	481.5	460.0	432.0	383.5	356.0	321.0	289.0	274.5	257.5	230.0	224.5	260.5	705.5
101112L4_R1_001	5781.0	4313.0	2385.0	1790.5	1760.5	2156.5	3129.0	4860.5	7444.5	11129.5	15806.5	21504.0	28191.0	35202.0	41248.5	46610.0	51368.0	55640.0	61133.5	65977.0	68436.0	69934.5	70875.5	71996.5	73950.5	77921.5	85697.5	95767.0	106568.5	120792.5	137773.5	158500.0	179236.5	200535.5	232748.0	262938.5	294188.5	335361.5	364436.0	377378.5	394461.0	414983.0	429999.0	443074.0	464131.0	492305.0	516830.5	536169.0	567402.0	608458.5	641280.0	677668.0	724069.5	764272.0	778409.5	775702.5	753905.5	702288.0	641942.5	576741.5	503846.0	435203.0	370352.0	311044.5	254917.5	206005.0	177810.5	146003.0	108433.5	84080.5	67730.5	54747.5	42188.0	32723.5	27142.0	22229.5	16405.0	10420.5	6732.0	4704.5	3321.5	2414.0	1617.0	1156.5	904.0	686.5	493.5	368.0	286.5	220.5	214.0	201.5	159.0	130.5	120.0	121.0	107.0	87.5	79.0	55.0	21.0
101112L4_R2_001	8772.0	5915.5	2440.0	1776.5	1906.0	2402.0	3509.0	5502.0	8258.5	12119.5	16914.5	22745.5	29824.0	36557.5	42709.5	48428.5	53137.0	57295.5	61795.0	66735.5	69620.5	70413.5	71470.5	73263.0	75511.0	79269.5	86125.5	96183.0	107257.5	122043.5	139163.0	158978.0	180153.0	202942.5	235917.5	265304.5	294682.0	334958.0	364855.0	378794.0	395555.5	416009.5	432914.0	445780.5	465466.5	492722.5	517718.5	538258.0	568514.0	608590.0	640564.0	676445.0	722149.0	761043.5	773023.5	769114.0	748537.0	698750.0	638602.0	575241.0	504056.0	434272.0	369418.5	309750.5	253509.0	203271.0	164754.0	131775.5	105130.0	84631.0	68549.5	55704.5	43877.5	34088.5	27774.5	22870.0	17197.5	11176.0	7281.5	5279.0	3802.0	2818.5	2008.0	1494.5	1162.0	862.5	666.5	501.5	419.0	399.0	353.0	327.0	296.5	256.5	232.5	219.5	206.5	213.5	241.0	261.5	963.5
101112L9_R1_001	1393.0	1221.0	885.0	685.5	748.0	1039.5	1581.0	2555.0	4016.5	6068.5	8792.0	12325.5	16176.5	20269.5	24399.0	27584.5	30776.5	34073.0	37328.0	41482.0	45070.0	47755.0	51550.5	56728.0	63540.5	73801.5	88584.5	107687.0	128372.0	152747.0	182353.5	218585.5	259520.5	304462.0	357976.5	414195.5	475119.5	546991.0	616410.5	676563.5	731078.5	780502.5	819407.0	835627.5	834549.0	825956.5	807231.0	759059.5	702388.0	654333.5	613431.5	581122.0	544348.5	514207.5	474779.5	442949.0	430466.0	401601.5	361579.0	322251.0	281669.5	251350.0	223707.0	181389.5	138662.0	113043.0	103151.5	84322.5	62587.0	56129.5	58131.5	50074.5	33996.5	26702.5	24376.5	21560.0	14431.0	7131.0	3475.0	2028.0	1527.0	1081.0	625.5	445.5	319.5	221.0	155.0	112.5	96.0	82.5	57.5	43.5	44.5	43.0	40.0	31.0	29.0	25.5	27.0	25.0	9.0
101112L9_R2_001	1898.0	1510.0	999.5	906.5	1037.5	1362.0	1976.0	3057.0	4598.5	6667.0	9467.5	13235.5	17315.0	21397.0	25394.5	28835.0	32045.5	35167.5	38692.0	42817.0	46018.5	48592.0	52975.5	58472.5	65170.0	75231.0	89712.5	108872.5	130310.5	155687.0	185762.5	221969.0	262034.0	306542.5	361133.0	416532.5	476506.0	546089.5	613877.0	674839.5	726550.5	773448.5	814158.0	830232.5	826564.0	817795.0	798781.5	752671.5	698401.0	651473.5	610780.5	578003.0	541995.5	511328.5	473240.0	440805.5	427095.0	399270.5	359962.5	321834.5	281643.0	251058.5	223287.0	181501.0	139055.5	113519.0	102057.0	83212.5	63358.0	56792.5	57653.0	50529.5	35833.5	27882.0	24826.0	21956.0	15327.5	8358.0	4728.5	3148.0	2510.0	2028.0	1505.0	1221.0	1087.0	978.5	879.5	795.0	742.0	695.0	664.0	648.5	615.0	620.5	590.5	621.5	734.5	920.5	1319.0	2210.5	8354.0
101112M14_R1_001	908.0	772.5	559.5	528.0	642.0	896.0	1351.0	2136.5	3464.5	5266.0	7529.5	10141.0	13381.0	16951.0	19978.5	22933.0	25647.0	27941.5	30868.5	34358.0	37037.5	39441.0	42781.5	47614.5	54664.0	64621.5	78657.5	96999.0	119469.0	146582.5	178425.5	217462.5	261122.0	307911.0	364229.0	424372.5	487639.5	558727.0	626484.0	687286.5	744065.5	794080.5	830757.5	847177.0	850519.5	839747.0	813018.5	767916.5	714297.5	657808.0	603223.0	557618.5	513326.0	476658.5	436952.0	400648.5	373785.5	338462.0	298856.5	260582.0	222985.5	192077.0	164245.0	135082.0	107295.5	86055.0	73115.0	59340.0	45670.5	38970.5	37067.5	31677.5	22580.0	16843.0	14475.5	12273.0	8401.0	4703.5	2587.5	1572.0	1146.0	782.5	446.0	311.0	204.5	131.5	91.5	72.0	61.0	49.5	39.5	30.0	23.0	24.5	24.0	23.5	24.0	20.0	21.0	17.0	5.5
