gene_id,prawnchip_high_log2FC,prawnchip_high_padj,prawnchip_mid_log2FC,prawnchip_mid_padj,prawnchip_low_log2FC,prawnchip_low_padj,earlygastrula_high_log2FC,earlygastrula_high_padj,earlygastrula_mid_log2FC,earlygastrula_mid_padj,earlygastrula_low_log2FC,earlygastrula_low_padj,any_sig
Montipora_capitata_HIv3___RNAseq.g11053.t1,2.1396634305868445,0.9996308712319643,-4.199597898234049,0.4112110430436128,1.5412810244232291,0.9997118730533281,1.612077730946891,0.9997161668025016,-4.541341664643642,0.09495874073908565,1.3538266886449626,0.8898110398118412,FALSE
Montipora_capitata_HIv3___RNAseq.g11129.t1,5.762847372875627,0.026247388965064608,1.0400532614086648,0.9999932330336805,-0.22960380728466187,0.9997118730533281,6.273262493382109,0.0026958054104701244,1.2096579976135622,NA,-0.15302123009175286,0.9841602777712017,TRUE
Montipora_capitata_HIv3___RNAseq.g11828.t1,0.37539390296109787,0.9996308712319643,-2.748719767869288,0.9458048342438015,0.3078997607615925,0.9997118730533281,0.9745384050569632,0.9997161668025016,-3.646966848002833,0.10430786001998985,0.19401915599552946,0.9831126692157768,FALSE
Montipora_capitata_HIv3___TS.g8038.t2,3.0570663838342034,0.9996308712319643,-4.37957475596808,0.4112110430436128,-0.5443682412098144,0.9997118730533281,3.902325760750603,0.9997161668025016,-5.037582593466522,0.05544623488126846,-0.7456044319224742,0.9425425496135134,FALSE
Montipora_capitata_HIv3___RNAseq.g25096.t1,5.06952439786835,0.29832254331161917,-0.6721291434145983,0.9999932330336805,2.2629553502757696,0.9997118730533281,5.423143062225755,0.14049600144643604,-0.4748249140915739,NA,2.3820329102030664,0.7709177006625486,FALSE
Montipora_capitata_HIv3___TS.g9507.t1,-1.4343861592959062,0.9996308712319643,-0.8857919570577185,0.9999932330336805,2.3073170896386563,0.9997118730533281,-2.9556439953179963,0.19101604697655564,-1.2849156059731726,NA,1.6675874172000378,0.8112841807323933,FALSE
Montipora_capitata_HIv3___TS.g9699.t2,-0.32465102700657644,0.9996308712319643,-0.3641824090833416,0.9999932330336805,3.567711364409638,0.014305408766256363,-0.050016118354717566,0.9997161668025016,-0.19012841864507515,0.999658842212811,3.545291051545081,0.013675904860358292,TRUE
Montipora_capitata_HIv3___RNAseq.g40764.t1,-0.6746280146432018,0.9996308712319643,0.046965148110201776,0.9999932330336805,4.858939832229086,0.00983344859600117,0.579854940936585,0.9997161668025016,-0.6344996989088261,0.999658842212811,5.087735675898113,0.003396670413076612,TRUE
Montipora_capitata_HIv3___TS.g48661.t1,-0.5425169623803489,0.9996308712319643,-1.9831780744513725,0.031600148390916044,-2.085558919811912,0.00983344859600117,-1.0569486650076199,0.9997161668025016,-1.8856199386513361,0.03668337688299679,-2.3857991516144,6.392702567678845e-4,TRUE
Montipora_capitata_HIv3___TS.g50653.t2,-2.9385364212641067,0.40687098511728903,-3.3514007634154286,0.07439112973403271,-3.307480696370341,0.0839518870398722,-3.2024960432236376,0.19101604697655564,-3.77678488291378,0.011651730683810858,-3.30735657302569,0.07340980208371456,TRUE
Montipora_capitata_HIv3___TS.g50862.t1,-0.728739089753988,0.9996308712319643,-3.7888235662236935,0.8208922837857867,2.2255687441102516,0.9997118730533281,-0.06569378478615594,0.9997161668025016,-4.522017840799562,0.12978357751846595,2.070880639855594,0.8411617161330437,FALSE
Montipora_capitata_HIv3___RNAseq.g15050.t1,0.6449312366327712,0.9996308712319643,-4.913861765047833,0.49384162111513497,1.289787818929128,0.9997118730533281,1.4470267797977365,0.9997161668025016,-5.805470503799457,0.05544623488126846,1.783883904157941,0.8759806366501067,FALSE
Montipora_capitata_HIv3___RNAseq.g15087.t1,2.022780403251449,0.9996308712319643,-4.8427204512516475,0.2888939199775697,5.182886231904092,0.49175183040154113,2.4180959305176843,0.9997161668025016,-5.4945455918748385,0.04130943630658625,4.863978894781435,0.5163877311844423,TRUE
Montipora_capitata_HIv3___TS.g45793.t1b,-0.2678253625941258,0.9996308712319643,-0.3100096364195533,0.9999932330336805,6.487556025583945,1.735507237356519e-4,-0.218709942161979,0.9997161668025016,0.059094717806346835,0.999658842212811,6.426938575597085,2.195498526954219e-4,TRUE
Montipora_capitata_HIv3___RNAseq.g45264.t1,1.988460048216055,0.9996308712319643,-2.9719668050198687,0.9999932330336805,3.2508858929267896,0.9997118730533281,2.7945506394688704,0.9997161668025016,-3.640328856480662,0.693858141711619,2.983566238487564,0.8050032685999948,FALSE
Montipora_capitata_HIv3___RNAseq.g20279.t1,-5.700298959967393,0.05622951979619499,-7.486183389837274,4.445605036268437e-5,-4.583714799828899,0.2892726223272217,-5.804520985495007,0.0356003383069267,-7.480116763878064,3.145645103476881e-5,-4.838047982511483,0.15441347585617043,TRUE
Montipora_capitata_HIv3___RNAseq.g20824.t1a,1.562066860553074,0.9996308712319643,-0.3006440127592335,0.9999932330336805,4.292777249022174,0.01352533928423089,1.3180204408900842,0.9997161668025016,-0.6776730341026108,0.999658842212811,3.953721123135034,0.042626577362110396,TRUE
Montipora_capitata_HIv3___RNAseq.g21373.t1,4.235406879491837,0.05622951979619499,0.11915294604577269,0.9999932330336805,-0.4083104135727264,0.9997118730533281,4.290462249805856,0.0356003383069267,0.6509141821590568,NA,-0.11290257737765774,0.9825039559453106,TRUE
Montipora_capitata_HIv3___RNAseq.g21376.t1,3.581394801493626,0.40687098511728903,-0.2115307847482505,0.9999932330336805,2.759975231545349,0.6335908870751493,3.290294282929129,0.5049853583840165,-0.20630747289875853,NA,2.2674107414722555,0.7115653185044515,FALSE
Montipora_capitata_HIv3___RNAseq.g28195.t1,1.1223599730954865,0.9996308712319643,-0.5913995689391531,0.9999932330336805,-0.6844737970668504,0.9997118730533281,1.8606274203263604,0.6951285554508402,-0.7930937094621305,NA,-0.8625044592517598,0.8219823287886991,FALSE
Montipora_capitata_HIv3___RNAseq.g30158.t1,-0.4411543418213661,0.9996308712319643,-3.1181640653691165,0.3283791274584596,0.4926550587394464,0.9997118730533281,0.18952163229873237,0.9997161668025016,-3.1087700875664637,0.12510769932767232,0.745977834283126,0.909753094881688,FALSE
Montipora_capitata_HIv3___TS.g15697.t1,-0.7921954026912131,0.9996308712319643,-0.3528227841588347,0.9999932330336805,5.714332503039385,0.009065834326544701,-0.23561038526287362,0.9997161668025016,-0.6661130188562873,NA,5.603630653077369,0.009093259699685873,TRUE
Montipora_capitata_HIv3___RNAseq.g33315.t1,1.2761485153511412,0.9996308712319643,-5.088947988321314,0.16172958918785857,1.4515653508009836,0.9997118730533281,1.5883884465670388,0.9997161668025016,-5.828290783467547,0.022396786774416925,1.1711614699829633,0.9084602389963412,TRUE
