gene_id,prawnchip_high_log2FC,prawnchip_high_padj,prawnchip_mid_log2FC,prawnchip_mid_padj,prawnchip_low_log2FC,prawnchip_low_padj,earlygastrula_high_log2FC,earlygastrula_high_padj,earlygastrula_mid_log2FC,earlygastrula_mid_padj,earlygastrula_low_log2FC,earlygastrula_low_padj,any_sig
Montipora_capitata_HIv3___RNAseq.g11129.t1,5.76284737287608,0.0262473889671451,1.0400532614092,0.999993233033595,-0.229603807284158,0.999711873053144,6.2732624933826,0.00269580541071851,1.20965799761405,NA,-0.153021230091269,0.984160277772223,TRUE
Montipora_capitata_HIv3___RNAseq.g11828.t1,0.375393902961093,0.999630871232434,-2.74871976786929,0.945804834243775,0.307899760761594,0.999711873053144,0.974538405056958,0.999716166802354,-3.64696684800284,0.104307860019988,0.194019155995528,0.983112669216467,FALSE
Montipora_capitata_HIv3___TS.g8038.t2,3.05706638383421,0.999630871232434,-4.37957475596807,0.411211043043571,-0.544368241209807,0.999711873053144,3.90232576075061,0.999716166802354,-5.03758259346652,0.0554462348811372,-0.745604431922468,0.94254254961663,FALSE
Montipora_capitata_HIv3___RNAseq.g25096.t1,5.06952439786786,0.298322543324207,-0.672129143415118,0.999993233033595,2.26295535027448,0.999711873053144,5.42314306222518,0.140496001453699,-0.474824914092083,NA,2.38203291020178,0.770917700662536,FALSE
Montipora_capitata_HIv3___TS.g9507.t1,-1.43438615929603,0.999630871232434,-0.88579195705766,0.999993233033595,2.30731708963965,0.999711873053144,-2.95564399531841,0.191016046992835,-1.28491560597314,NA,1.66758741720095,0.811284180746319,FALSE
Montipora_capitata_HIv3___TS.g9699.t2,-0.324651027006646,0.999630871232434,-0.364182409083346,0.999993233033595,3.5677113644104,0.0143054087671015,-0.0500161183548926,0.999716166802354,-0.190128418645167,0.999658842213003,3.54529105154582,0.0136759048611823,TRUE
Montipora_capitata_HIv3___RNAseq.g40764.t1,-0.674628014642999,0.999630871232434,0.0469651481105706,0.999993233033595,4.85893983222981,0.00983344859739439,0.579854940936798,0.999716166802354,-0.63449969890853,0.999658842213003,5.08773567589882,0.00339667041320787,TRUE
Montipora_capitata_HIv3___TS.g48661.t1,-0.542516962379324,0.999630871232434,-1.9831780744508,0.0316001483953854,-2.08555891981154,0.00983344859739439,-1.05694866500666,0.999716166802354,-1.88561993865081,0.0366833768877803,-2.38579915161405,6.3927025688584e-4,TRUE
Montipora_capitata_HIv3___TS.g50653.t2,-2.93853642126534,0.406870985137373,-3.35140076341637,0.0743911297391912,-3.30748069637041,0.0839518870453258,-3.20249604322508,0.191016046992835,-3.7767848829149,0.0116517306848282,-3.30735657302596,0.0734098020884387,TRUE
Montipora_capitata_HIv3___TS.g50862.t1,-0.728739089753988,0.999630871232434,-3.78882356622369,0.820892283785797,2.22556874411025,0.999711873053144,-0.065693784786156,0.999716166802354,-4.52201784079956,0.129783577518469,2.07088063985559,0.841161716141931,FALSE
