category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0051128,1.8971718836853773e-10,1,4,4,regulation of cellular component organization,BP,1.6037583439104338e-9
GO:0016070,2.0587142675649345e-10,1,4,4,RNA metabolic process,BP,1.7295741470097997e-9
GO:0016192,2.0781672830160503e-10,1,4,4,vesicle-mediated transport,BP,1.7352059338557326e-9
GO:0050793,2.1549658382886302e-10,1,4,4,regulation of developmental process,BP,1.771284631969059e-9
GO:0042981,2.1604206385515342e-10,1,4,4,regulation of apoptotic process,BP,1.771284631969059e-9
GO:0043067,2.1604206385515342e-10,1,4,4,regulation of programmed cell death,BP,1.771284631969059e-9
GO:0009968,2.2856055485361847e-10,1,4,4,negative regulation of signal transduction,BP,1.829828912681028e-9
GO:0010648,2.2856055485361847e-10,1,4,4,negative regulation of cell communication,BP,1.829828912681028e-9
GO:0023057,2.2856055485361847e-10,1,4,4,negative regulation of signaling,BP,1.829828912681028e-9
GO:0048585,2.2856055485361847e-10,1,4,4,negative regulation of response to stimulus,BP,1.829828912681028e-9
GO:0009605,2.5647377387729904e-10,1,4,4,response to external stimulus,BP,1.9946331785543086e-9
GO:0050790,2.7664295447879093e-10,1,4,4,regulation of catalytic activity,BP,2.127181135851042e-9
GO:0065009,2.7664295447879093e-10,1,4,4,regulation of molecular function,BP,2.127181135851042e-9
GO:0007346,3.114093457890097e-10,1,4,4,regulation of mitotic cell cycle,BP,2.367754858205822e-9
GO:0051726,3.114093457890097e-10,1,4,4,regulation of cell cycle,BP,2.367754858205822e-9
GO:0006974,3.2451538432035005e-10,1,4,4,cellular response to DNA damage stimulus,BP,2.453696878111091e-9
GO:0010467,3.3851109173390746e-10,1,4,4,gene expression,BP,2.5047849568735616e-9
GO:0048468,3.4049024750209173e-10,1,4,4,cell development,BP,2.504903928920794e-9
GO:0009887,3.852380640791322e-10,1,4,4,animal organ morphogenesis,BP,2.770102562110425e-9
GO:0010647,3.852380640791322e-10,1,4,4,positive regulation of cell communication,BP,2.770102562110425e-9
GO:0023056,3.852380640791322e-10,1,4,4,positive regulation of signaling,BP,2.770102562110425e-9
GO:0001775,3.887506167252691e-10,1,4,4,cell activation,BP,2.770102562110425e-9
