Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
456H9_R1_001	456H9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21390471.0	2.9 Gbp	0.0	15-140	40.0	32.83358828564327	138.35714566546946	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
456H9_R2_001	456H9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21390471.0	2.9 Gbp	0.0	15-140	40.0	34.13263914436607	138.3563741537061	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
456L14_R1_001	456L14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17844788.0	2.4 Gbp	0.0	15-140	43.0	56.16193019077333	136.39486582861056	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
456L14_R2_001	456L14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17844788.0	2.4 Gbp	0.0	15-140	43.0	56.85107090988206	136.41059815336556	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
456L4_R1_001	456L4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17194458.0	2.3 Gbp	0.0	15-140	42.0	23.702462227109535	137.41739222021423	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
456L4_R2_001	456L4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17194458.0	2.3 Gbp	0.0	15-140	42.0	24.206014863315914	137.41814461380523	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
456L9_R1_001	456L9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17418498.0	2.3 Gbp	0.0	15-140	43.0	41.081177385831644	137.3892038796916	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
456L9_R2_001	456L9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17418498.0	2.3 Gbp	0.0	15-140	43.0	42.07395074820155	137.39175984060165	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
456M14_R1_001	456M14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17735167.0	2.4 Gbp	0.0	15-140	45.0	48.5134295309401	138.15018572985525	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
456M14_R2_001	456M14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17735167.0	2.4 Gbp	0.0	15-140	45.0	49.488450104786395	138.15175459018795	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
